State,Cases,Range
Alabama,19,1 to 2
Alaska,1,1 to 2
Arizona,85,1 to 2
Arkansas,5,1 to 2
California,826,1 to 2
Colorado,53,1 to 2
Connecticut,39,1 to 2
Delaware,5,1 to 2
District of Columbia,257,1 to 2
Florida,525,1 to 2
Georgia,504,1 to 2
Hawaii,10,1 to 2
Idaho,5,1 to 2
Illinois,547,1 to 2
Indiana,62,1 to 2
Iowa,11,1 to 2
Kansas,1,1 to 2
Kentucky,8,1 to 2
Louisiana,58,1 to 2
Maine,2,1 to 2
Maryland,157,1 to 2
Massachusetts,134,1 to 2
Michigan,56,1 to 2
Minnesota,39,1 to 2
Mississippi,4,1 to 2
Missouri,12,1 to 2
Nebraska,10,1 to 2
Nevada,26,1 to 2
New Hampshire,14,1 to 2
New Jersey,160,1 to 2
New Mexico,10,1 to 2
New York,1666,1 to 2
North Carolina,72,1 to 2
North Dakota,1,1 to 2
Ohio,34,1 to 2
Oklahoma,10,1 to 2
Oregon,75,1 to 2
Pennsylvania,173,1 to 2
Puerto Rico,19,1 to 2
Rhode Island,26,1 to 2
South Carolina,23,1 to 2
South Dakota,1,1 to 2
Tennessee,39,1 to 2
Texas,527,1 to 2
Utah,41,1 to 2
Vermont,1,1 to 2
Virginia,105,1 to 2
Washington,134,1 to 2
West Virginia,3,1 to 2
Wisconsin,19,1 to 2
Non-US Resident,3,1 to 2
