State,Cases,Case Range,AsOf
Alabama,24,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Alaska,2,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Arizona,149,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Arkansas,12,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
California,1892,>500,Data as of 10 Aug 2022 2:00 PM EDT
Colorado,111,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Connecticut,54,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Delaware,8,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
District of Columbia,319,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Florida,1018,>500,Data as of 10 Aug 2022 2:00 PM EDT
Georgia,775,>500,Data as of 10 Aug 2022 2:00 PM EDT
Hawaii,11,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Idaho,8,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Illinois,717,>500,Data as of 10 Aug 2022 2:00 PM EDT
Indiana,77,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Iowa,13,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Kansas,2,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Kentucky,10,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Louisiana,92,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Maine,3,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Maryland,236,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Massachusetts,174,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Michigan,77,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Minnesota,58,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Mississippi,8,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Missouri,18,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Montana,2,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Nebraska,14,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Nevada,56,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
New Hampshire,15,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
New Jersey,277,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
New Mexico,13,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
New York,2132,>500,Data as of 10 Aug 2022 2:00 PM EDT
Non-US Resident,3,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
North Carolina,122,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
North Dakota,2,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Ohio,75,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Oklahoma,12,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Oregon,93,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Pennsylvania,268,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Puerto Rico,32,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Rhode Island,32,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
South Carolina,44,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
South Dakota,2,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Tennessee,62,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Texas,780,>500,Data as of 10 Aug 2022 2:00 PM EDT
Total,10392,,Data as of 10 Aug 2022 2:00 PM EDT
Utah,57,51 to 100,Data as of 10 Aug 2022 2:00 PM EDT
Vermont,1,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Virginia,175,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
Washington,220,101 to 500,Data as of 10 Aug 2022 2:00 PM EDT
West Virginia,4,1 to 10,Data as of 10 Aug 2022 2:00 PM EDT
Wisconsin,31,11 to 50,Data as of 10 Aug 2022 2:00 PM EDT
Wyoming,0,0,Data as of 10 Aug 2022 2:00 PM EDT
