Location,Cases,Case Range,AsOf
Alabama,30,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Alaska,2,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Arizona,205,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Arkansas,20,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
California,1945,>500,Data as of 16 Aug 2022 2:00 PM EDT
Colorado,155,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Connecticut,69,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Delaware,10,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
District of Columbia,344,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Florida,1268,>500,Data as of 16 Aug 2022 2:00 PM EDT
Georgia,1013,>500,Data as of 16 Aug 2022 2:00 PM EDT
Hawaii,12,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Idaho,9,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Illinois,851,>500,Data as of 16 Aug 2022 2:00 PM EDT
Indiana,95,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Iowa,15,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Kansas,3,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Kentucky,15,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Louisiana,114,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Maine,3,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Maryland,335,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Massachusetts,228,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Michigan,99,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Minnesota,75,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Mississippi,16,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Missouri,24,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Montana,2,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Nebraska,17,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Nevada,83,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
New Hampshire,15,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
New Jersey,335,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
New Mexico,16,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
New York,2620,>500,Data as of 16 Aug 2022 2:00 PM EDT
Non-US Resident,3,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
North Carolina,180,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
North Dakota,2,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Ohio,116,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Oklahoma,15,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Oregon,105,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Pennsylvania,353,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Puerto Rico,54,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Rhode Island,33,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
South Carolina,71,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
South Dakota,2,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Tennessee,93,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Texas,1048,>500,Data as of 16 Aug 2022 2:00 PM EDT
Total,12689,,Data as of 16 Aug 2022 2:00 PM EDT
Utah,73,51 to 100,Data as of 16 Aug 2022 2:00 PM EDT
Vermont,2,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Virginia,189,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
Washington,272,101 to 500,Data as of 16 Aug 2022 2:00 PM EDT
West Virginia,4,1 to 10,Data as of 16 Aug 2022 2:00 PM EDT
Wisconsin,31,11 to 50,Data as of 16 Aug 2022 2:00 PM EDT
Wyoming,0,0,Data as of 16 Aug 2022 2:00 PM EDT
