Country,Date,Cumulative_cases,Cases
Alabama,2022-07-15,2,2
Alabama,2022-07-18,2,0
Alabama,2022-07-19,2,0
Alabama,2022-07-21,6,4
Alabama,2022-07-22,4,-2
Alabama,2022-07-25,5,1
Alabama,2022-07-26,5,0
Alabama,2022-07-27,6,1
Alabama,2022-07-28,17,11
Alabama,2022-07-29,16,-1
Alabama,2022-08-03,19,3
Alabama,2022-08-10,24,5
Alabama,2022-08-12,30,6
Alabama,2022-08-15,30,0
Alabama,2022-08-16,30,0
Alabama,2022-08-17,34,4
Alabama,2022-08-18,34,0
Alabama,2022-08-22,47,13
Alabama,2022-08-23,53,6
Alabama,2022-08-24,53,0
Alabama,2022-08-25,53,0
Alabama,2022-08-26,53,0
Alabama,2022-08-30,60,7
Alabama,2022-08-31,69,9
Alabama,2022-09-01,69,0
Alabama,2022-09-02,78,9
Alabama,2022-09-06,78,0
Alabama,2022-09-07,82,4
Alabama,2022-09-08,82,0
Alabama,2022-09-09,82,0
Alabama,2022-09-12,90,8
Alabama,2022-09-13,90,0
Alabama,2022-09-14,90,0
Alabama,2022-09-18,90,0
Alabama,2022-09-19,90,0
Alabama,2022-09-20,105,15
Alabama,2022-09-21,105,0
Alabama,2022-09-23,112,7
Alabama,2022-09-26,115,3
Alabama,2022-09-27,115,0
Alabama,2022-09-28,115,0
Alabama,2022-09-29,115,0
Alabama,2022-10-01,115,0
Alabama,2022-10-03,130,15
Alaska,2022-07-29,1,1
Alaska,2022-08-03,1,0
Alaska,2022-08-10,2,1
Alaska,2022-08-12,2,0
Alaska,2022-08-15,2,0
Alaska,2022-08-16,2,0
Alaska,2022-08-17,2,0
Alaska,2022-08-18,2,0
Alaska,2022-08-22,3,1
Alaska,2022-08-23,3,0
Alaska,2022-08-24,3,0
Alaska,2022-08-25,3,0
Alaska,2022-08-26,3,0
Alaska,2022-08-30,3,0
Alaska,2022-08-31,3,0
Alaska,2022-09-01,3,0
Alaska,2022-09-02,3,0
Alaska,2022-09-06,3,0
Alaska,2022-09-07,3,0
Alaska,2022-09-08,3,0
Alaska,2022-09-09,3,0
Alaska,2022-09-12,3,0
Alaska,2022-09-13,3,0
Alaska,2022-09-14,3,0
Alaska,2022-09-18,3,0
Alaska,2022-09-19,5,2
Alaska,2022-09-20,5,0
Alaska,2022-09-21,5,0
Alaska,2022-09-23,5,0
Alaska,2022-09-26,5,0
Alaska,2022-09-27,5,0
Alaska,2022-09-28,5,0
Alaska,2022-09-29,5,0
Alaska,2022-10-01,5,0
Alaska,2022-10-03,5,0
Arizona,2022-06-08,1,1
Arizona,2022-06-17,1,0
Arizona,2022-06-22,1,0
Arizona,2022-06-28,1,0
Arizona,2022-07-05,1,0
Arizona,2022-07-07,3,2
Arizona,2022-07-15,11,8
Arizona,2022-07-18,12,1
Arizona,2022-07-19,11,-1
Arizona,2022-07-21,22,11
Arizona,2022-07-22,29,7
Arizona,2022-07-25,35,6
Arizona,2022-07-26,35,0
Arizona,2022-07-27,41,6
Arizona,2022-07-28,50,9
Arizona,2022-07-29,50,0
Arizona,2022-08-03,85,35
Arizona,2022-08-10,149,64
Arizona,2022-08-12,170,21
Arizona,2022-08-15,201,31
Arizona,2022-08-16,205,4
Arizona,2022-08-17,213,8
Arizona,2022-08-18,220,7
Arizona,2022-08-22,258,38
Arizona,2022-08-23,270,12
Arizona,2022-08-24,269,-1
Arizona,2022-08-25,271,2
Arizona,2022-08-26,281,10
Arizona,2022-08-30,314,33
Arizona,2022-08-31,317,3
Arizona,2022-09-01,326,9
Arizona,2022-09-02,333,7
Arizona,2022-09-06,341,8
Arizona,2022-09-07,356,15
Arizona,2022-09-08,370,14
Arizona,2022-09-09,374,4
Arizona,2022-09-12,374,0
Arizona,2022-09-13,396,22
Arizona,2022-09-14,399,3
Arizona,2022-09-18,411,12
