"","date","lower","median","upper"
"cases[79]",79,58.6603360746608,62.8911795180023,66.1392583545137
"cases[80]",80,60.3556459550108,64.7094396590816,68.0124236751962
"cases[81]",81,62.0910039973443,66.5654681529943,69.9111966975486
"cases[82]",82,63.8603557359352,68.4451476529775,71.8427898637208
"cases[83]",83,65.6710606668933,70.3590348421946,73.7908800291184
"cases[84]",84,67.5121992847995,72.2949481818601,75.7599915582524
"cases[85]",85,69.4041148563921,74.258920195891,77.7516772543776
"cases[86]",86,71.3418983155725,76.2515107880531,79.758259280521
"cases[87]",87,73.3161141245344,78.2766392383248,81.7800263877089
"cases[88]",88,75.3281889653447,80.3271465709201,83.8163811815601
"cases[89]",89,77.3946764787204,82.4057826971014,85.8825715918859
"cases[90]",90,79.5080978063471,84.5072741482639,87.958118118737
"cases[91]",91,81.6647834157801,86.627640145158,90.059353264659
"cases[92]",92,83.8680157927411,88.782254520118,92.182199626717
"cases[93]",93,86.1060953205875,90.9619286743353,94.315028196733
"cases[94]",94,88.385034207535,93.1619535712064,96.4800668229926
"cases[95]",95,90.7198645206498,95.386763596422,98.6579848119956
"cases[96]",96,93.0992002485664,97.6412820045234,100.849062400918
"cases[97]",97,95.5113143172038,99.917701003158,103.085123432706
"cases[98]",98,97.968875406649,102.220311414769,105.346996968345
"cases[99]",99,100.46972276354,104.550623589053,107.641492394451
"cases[100]",100,102.990861223273,106.91263735153,109.986935412472
"cases[101]",101,105.539170143789,109.293494968068,112.391688425226
"cases[102]",102,108.06978849873,111.708254582018,114.883447146022
"cases[103]",103,110.568178635103,114.15277462908,117.471747004793
"cases[104]",104,113.039708069547,116.627836273801,120.174316507407
"cases[105]",105,115.443056735521,119.125725376002,122.975491414345
"cases[106]",106,117.808406984118,121.645845845727,125.902582857115
"cases[107]",107,120.094427585701,124.191922988854,128.982953981721
"cases[108]",108,122.338515444402,126.752209191591,132.161565482605
"cases[109]",109,124.535213355905,129.333862287287,135.476978314031
"cases[110]",110,126.688601796498,131.924190751572,138.897456192373
"cases[111]",111,128.811220716979,134.542285077577,142.395593231132
"cases[112]",112,130.919100372785,137.160956718633,145.980523174749
