"","date","lower","median","upper"
"cases[60]",60,92.2332231884242,97.8012543986474,103.281232326611
"cases[61]",61,96.2828485172991,101.732040695773,107.118856442605
"cases[62]",62,100.352907696293,105.706707519406,111.006935040604
"cases[63]",63,104.473420406169,109.723637314786,114.959086926501
"cases[64]",64,108.599877233239,113.778731125085,118.93606510869
"cases[65]",65,112.753737711632,117.871059724783,122.97071920746
"cases[66]",66,116.942446900126,121.98606763655,127.033908803089
"cases[67]",67,121.14960969795,126.129858031883,131.12397645109
"cases[68]",68,125.377570149008,130.296639346055,135.240560696507
"cases[69]",69,129.614789870878,134.481456956792,139.403419523678
"cases[70]",70,133.849357446353,138.688759453885,143.584650990618
"cases[71]",71,138.09879465893,142.900406506946,147.766603793694
"cases[72]",72,142.336213329454,147.119343187593,151.977317894973
"cases[73]",73,146.572110352326,151.35098774352,156.192133563358
"cases[74]",74,150.799941122753,155.584168095262,160.409864966417
"cases[75]",75,155.013897487759,159.811532849694,164.632821900597
"cases[76]",76,159.236958518676,164.037215671597,168.837427423022
"cases[77]",77,163.456603380197,168.250719948898,173.03275550618
"cases[78]",78,167.6639726248,172.45760080649,177.220381200674
"cases[79]",79,171.87416924658,176.651195382272,181.382901977603
"cases[80]",80,176.046880423962,180.8294119247,185.522908690634
"cases[81]",81,180.234659892503,184.985826718675,189.656144953702
"cases[82]",82,184.400663240137,189.125854244865,193.762980780141
"cases[83]",83,188.539325503568,193.236863396876,197.829498344173
"cases[84]",84,192.65272731719,197.320523618816,201.858792466099
"cases[85]",85,196.746975684082,201.380208137589,205.871117492855
"cases[86]",86,200.810550251555,205.404050445299,209.836793079309
"cases[87]",87,204.84157157758,209.40047943097,213.791272384751
"cases[88]",88,208.841947997861,213.358941770373,217.696271883042
"cases[89]",89,212.794663668128,217.278629719118,221.568352250277
"cases[90]",90,216.737263426726,221.165978689095,225.398639541942
"cases[91]",91,220.63929459579,225.011632297454,229.194823913072
"cases[92]",92,224.486694805745,228.815460240443,232.964621116037
"cases[93]",93,228.277584187578,232.575565656077,236.711272866704
"cases[94]",94,232.004183361026,236.293715940034,240.431315534551
"cases[95]",95,235.681713474887,239.968779625443,244.111342086715
"cases[96]",96,239.304362860799,243.59797560397,247.764532814274
"cases[97]",97,242.859380357198,247.184997242028,251.403599739718
"cases[98]",98,246.337620161834,250.726543908482,255.008949767836
"cases[99]",99,249.748699939786,254.218558805504,258.588252775549
"cases[100]",100,253.090961297547,257.660238409533,262.126815474624
"cases[101]",101,256.353309701974,261.050435389681,265.662146780883
"cases[102]",102,259.525563969228,264.397365632616,269.192821773315
"cases[103]",103,262.659939547708,267.692584048906,272.671372158293
"cases[104]",104,265.716346718431,270.950095475302,276.154942474144
