"","date","lower","median","upper"
"cases[53]",53,217.93838283033,231.993042262253,246.425892735574
"cases[54]",54,228.858567870447,242.800812711714,257.137707124583
"cases[55]",55,239.897087018051,253.71517564666,267.93552748879
"cases[56]",56,250.952762857188,264.732016111233,278.832369114411
"cases[57]",57,262.086533600714,275.817995483098,289.892260575474
"cases[58]",58,273.259767362157,286.960296858814,301.009925652056
"cases[59]",59,284.449404920602,298.144888887707,312.204394661267
"cases[60]",60,295.686318442946,309.370567228839,323.430829266546
"cases[61]",61,306.836738528132,320.594245009185,334.710942966767
"cases[62]",62,317.968706069765,331.862540543637,345.985119456182
"cases[63]",63,329.089837032675,343.103335717807,357.281426371469
"cases[64]",64,340.171848892632,354.326284855279,368.53277167424
"cases[65]",65,351.268950241078,365.515974790799,379.791394382047
"cases[66]",66,362.272244804336,376.65916090613,391.023233699046
"cases[67]",67,373.211297274911,387.754127232936,402.219128703685
"cases[68]",68,384.163469627471,398.782012335537,413.288097919517
"cases[69]",69,394.967978402968,409.730074940955,424.30210222637
"cases[70]",70,405.691154671023,420.597841556396,435.256257418316
"cases[71]",71,416.364388608659,431.373878220943,446.03297532809
"cases[72]",72,426.902673804146,442.029680687953,456.738149268104
"cases[73]",73,437.389284449265,452.576683112884,467.286234575077
"cases[74]",74,447.775204449182,463.014153407653,477.66790078834
"cases[75]",75,458.088393877543,473.324552345957,487.979037233359
"cases[76]",76,468.238462900888,483.492539242417,498.154029315727
"cases[77]",77,478.288421175225,493.531666152514,508.113795797047
