"","date","lower","median","upper"
"cases[24]",24,51.5109293989973,53.5408337035557,55.5900860709291
"cases[25]",25,55.2275035126911,57.3174725747567,59.4223817972835
"cases[26]",26,58.986419849044,61.1432804749256,63.312700775616
"cases[27]",27,62.773780164365,64.9975959057548,67.2291964996691
"cases[28]",28,66.5852580286107,68.8696964143028,71.1389546389428
"cases[29]",29,70.4341707240784,72.751309710065,75.02493816636
"cases[30]",30,74.3018801587088,76.6235096803305,78.8996788052816
"cases[31]",31,78.1731003880167,80.4834360815312,82.726427074782
"cases[32]",32,82.0403941704852,84.3153006336906,86.5091009680427
"cases[33]",33,85.8909204569905,88.1048246662246,90.2283892383424
"cases[34]",34,89.7082253563257,91.8518542410098,93.9082054006633
"cases[35]",35,93.4859379326541,95.5491705519016,97.5441768953417
"cases[36]",36,97.1635591390209,99.1835293542343,101.152587327895
"cases[37]",37,100.721948381319,102.753319471025,104.747597082833
"cases[38]",38,104.163468444256,106.250879307492,108.331993539835
"cases[39]",39,107.421357176661,109.676454889115,111.929229228005
"cases[40]",40,110.514120754162,113.019631563597,115.545462006896
