"","date","lower","median","upper"
"cases[65]",65,2581.1042366871,2601.33487122918,2621.62404636634
"cases[66]",66,2699.37186478353,2720.01212831771,2740.6179662802
"cases[67]",67,2818.64972071851,2839.67499362238,2860.55701048602
"cases[68]",68,2938.76890263779,2960.14956492491,2981.37265290878
"cases[69]",69,3059.58925434574,3081.29270739092,3102.77203858148
"cases[70]",70,3180.8530177116,3202.87908409818,3224.67344711638
"cases[71]",71,3302.45563670141,3324.75903908977,3346.81922252509
"cases[72]",72,3424.23836983491,3446.79018372439,3469.13248228112
"cases[73]",73,3546.05658996849,3568.7946006352,3591.29869446386
"cases[74]",74,3667.82735003669,3690.60720995942,3713.1856806706
"cases[75]",75,3789.36879156643,3812.1506354376,3834.7127937732
"cases[76]",76,3910.44695082423,3933.23301763732,3955.73802751741
"cases[77]",77,4031.06232418152,4053.73279881195,4076.13208598996
"cases[78]",78,4150.93308978431,4173.54085567063,4195.75716110587
"cases[79]",79,4270.12625371517,4292.51328890234,4314.57108782436
"cases[80]",80,4388.3831399826,4410.53034737522,4432.42690862548
"cases[81]",81,4505.61836310312,4527.48600697112,4549.25700673187
"cases[82]",82,4621.6746993725,4643.32182167671,4664.8598925578
"cases[83]",83,4736.43199179972,4757.94067074028,4779.37610722486
