"","date","lower","median","upper"
"cases[51]",51,424.681040805193,436.114759156364,447.423226370928
"cases[52]",52,441.492232658108,452.796771711226,464.032143238151
"cases[53]",53,458.421594562944,469.647794259531,480.805760888024
"cases[54]",54,475.50486743403,486.627546380422,497.738107849482
"cases[55]",55,492.686905050404,503.763830662655,514.853579907861
"cases[56]",56,509.965445816491,521.012400417964,532.146842067937
"cases[57]",57,527.334790089053,538.366261370933,549.476902174792
"cases[58]",58,544.758124110966,555.815212553396,566.955790584988
"cases[59]",59,562.227847157266,573.324508760114,584.530920895648
"cases[60]",60,579.749757090935,590.913234934642,602.157269011808
"cases[61]",61,597.342527345344,608.546394328187,619.825155682657
"cases[62]",62,614.914346917061,626.204924253307,637.538551055878
"cases[63]",63,632.504141165322,643.873332912617,655.259116127532
"cases[64]",64,650.114802238759,661.545172455262,672.989280832224
"cases[65]",65,667.71905845676,679.203221125988,690.737408850799
"cases[66]",66,685.295562422882,696.842707960247,708.388636581379
"cases[67]",67,702.86687281915,714.453066355802,726.036000248824
"cases[68]",68,720.404852084228,732.011824383982,743.658086108566
"cases[69]",69,737.881543451846,749.513769377679,761.222155161347
"cases[70]",70,755.314212157024,766.953496839594,778.687892873001
"cases[71]",71,772.630952579946,784.316825969042,796.067410799171
"cases[72]",72,789.866556612323,801.590381842032,813.32453105138
"cases[73]",73,807.019651496132,818.75941936239,830.490372401384
"cases[74]",74,824.080782058571,835.818153631364,847.539578833749
"cases[75]",75,841.04735822173,852.754243563407,864.424776538104
"cases[76]",76,857.8866506497,869.560843543563,881.222677631026
"cases[77]",77,874.599432444799,886.237741622222,897.848922918672
"cases[78]",78,891.228688576947,902.775465959015,914.330779632354
"cases[79]",79,907.693128402118,919.172906954238,930.652548952416
"cases[80]",80,924.009140834196,935.410791563426,946.800278714602
"cases[81]",81,940.14173069655,951.484401296489,962.752610498886
"cases[82]",82,956.18440834891,967.40052864368,978.556970713551
"cases[83]",83,972.013597501358,983.137673477862,994.154116987298
"cases[84]",84,987.623496863902,998.688600843072,1009.62478971656
"cases[85]",85,1003.11843829048,1014.06412958538,1024.88150451288
