"","date","lower","median","upper"
"cases[71]",71,610.268227076253,699.862237833461,737.675691561812
"cases[72]",72,656.218969019388,748.781867484473,787.148258461822
"cases[73]",73,704.643552366279,798.693009916729,837.063847619362
"cases[74]",74,756.248851122732,849.616485442955,887.851244589293
"cases[75]",75,810.89516135475,901.532970572454,938.925080005719
"cases[76]",76,868.356228693,954.085709001666,990.771239241302
"cases[77]",77,928.266064053086,1007.34826302351,1043.30172468391
"cases[78]",78,991.122044549359,1061.31574528363,1097.53480943506
"cases[79]",79,1054.42477594864,1115.80692273537,1154.82175162054
"cases[80]",80,1117.40508428082,1170.87705409167,1218.05960370681
"cases[81]",81,1176.20903556106,1226.32603889216,1289.27955421807
"cases[82]",82,1229.42265957533,1281.80391809163,1369.14524766518
