"","date","lower","median","upper"
"cases[1]",1,0.447081861163425,5.47263706030922,15.4062101042898
"cases[2]",2,0.492988359489091,5.61205889690359,15.4958413165346
"cases[3]",3,0.532180101250905,5.75493519342398,15.5965029960047
"cases[4]",4,0.575241193785748,5.89960624608652,15.6890353436429
"cases[5]",5,0.626041146262769,6.04922915519916,15.7872103771818
"cases[6]",6,0.689807861219321,6.20030388258068,15.8891457709469
"cases[7]",7,0.749861069528153,6.35456164748999,15.9976202586449
"cases[8]",8,0.810155829232927,6.51237718404594,16.0953756343398
"cases[9]",9,0.873375697311255,6.67436906541568,16.183449732114
"cases[10]",10,0.942877516389563,6.84005347172298,16.2962603897824
"cases[11]",11,1.01359366829136,7.00752926872549,16.4170041615709
"cases[12]",12,1.08622444657781,7.18154408952832,16.5320022396554
"cases[13]",13,1.16389547802566,7.35646824946365,16.6494901822765
"cases[14]",14,1.25105444850465,7.53659230318224,16.7602995513955
"cases[15]",15,1.3516225067995,7.71838482268815,16.8789217628417
"cases[16]",16,1.46501188155097,7.90606795903247,16.988558788571
"cases[17]",17,1.57050651856122,8.09920580460905,17.1024494154053
"cases[18]",18,1.66950833675513,8.29539393226372,17.2119668045492
"cases[19]",19,1.79723788796882,8.49655600212969,17.3318758635653
"cases[20]",20,1.93105870476549,8.70158621096777,17.4536586880261
"cases[21]",21,2.06481102187899,8.90896440084488,17.5640965809121
"cases[22]",22,2.20567476648068,9.12046385673852,17.6771551399837
"cases[23]",23,2.34572879827662,9.33832014430216,17.7929048165363
"cases[24]",24,2.49664565681061,9.56052810057163,17.9074529821537
"cases[25]",25,2.655313173593,9.78665397957995,18.0195351945186
"cases[26]",26,2.8469006986038,10.0168524903625,18.1425240201404
"cases[27]",27,3.05453915459264,10.2535840327068,18.2790858415964
"cases[28]",28,3.24668769752531,10.4963901698669,18.4114467543038
"cases[29]",29,3.45862758595057,10.7461495387965,18.5437723681141
"cases[30]",30,3.67927209640493,10.999017866191,18.6794447407075
"cases[31]",31,3.9212184207389,11.2567080215887,18.8201499164631
"cases[32]",32,4.19369816099346,11.5153515234818,18.9652276361638
"cases[33]",33,4.4941310681972,11.7856278013727,19.0922090023154
"cases[34]",34,4.83117252381639,12.0579159245418,19.225196839195
"cases[35]",35,5.25257855123125,12.3369187376194,19.3667645791535
"cases[36]",36,5.67107607266741,12.6181389406875,19.5129791664578
"cases[37]",37,6.12628638676473,12.906238189927,19.6607469799435
"cases[38]",38,6.66553983152133,13.2006107022363,19.816691559443
"cases[39]",39,7.26218507123375,13.503507506599,19.9565414292932
"cases[40]",40,7.98888853954263,13.8200533756877,20.1236002475727
"cases[41]",41,8.51866159646579,14.1647345481396,20.3779246774715
"cases[42]",42,8.91324565463971,14.4908948731697,20.7585959079931
"cases[43]",43,9.30945292514313,14.8155723810649,21.0290501449089
"cases[44]",44,9.72419619388447,15.1533300467047,21.3041564597557
"cases[45]",45,10.1293153181843,15.4968156985795,21.501089749836
"cases[46]",46,10.5511644980143,15.8441747373823,21.699526585414
"cases[47]",47,10.9768586587492,16.1960096518309,21.8843314446524
"cases[48]",48,11.3985516769338,16.5507881377819,22.0910584751983
"cases[49]",49,11.8601078354713,16.9132558245242,22.2686984473846
"cases[50]",50,12.3276866924304,17.2755323736653,22.4588965103365
"cases[51]",51,12.7931777341553,17.6475819352222,22.6625435245855
"cases[52]",52,13.2650365148278,18.0250903641871,22.8697401772589
"cases[53]",53,13.7511185512921,18.4082335789164,23.1193688605647
"cases[54]",54,14.2424059321191,18.7982082559229,23.3476834142446
"cases[55]",55,14.7361698579763,19.2026819695236,23.5966723212935
"cases[56]",56,15.2142226496807,19.6100701872391,23.8717552656364
"cases[57]",57,15.6786260854452,20.0284733846468,24.1764445336611
"cases[58]",58,16.1597091145436,20.4477955712874,24.5190409844183
"cases[59]",59,16.6351274573229,20.8798746160581,24.8731853654398
"cases[60]",60,17.104270494917,21.3181855985578,25.2461954493731
"cases[61]",61,17.5481045428985,21.7673149903711,25.66599311166
"cases[62]",62,17.9974623320911,22.2253676152692,26.1165430959123
"cases[63]",63,18.4256780970104,22.6878269248417,26.6196328985256
"cases[64]",64,18.8291695435391,23.1626267775606,27.1634203091174
"cases[65]",65,19.2294058430727,23.6490934969919,27.7595077051407
"cases[66]",66,19.5524616168441,24.1399082981365,28.3841841213604
"cases[67]",67,19.896657540049,24.6416874972417,29.0693223880285
"cases[68]",68,20.1762416536075,25.1561333802316,29.8234334337252
"cases[69]",69,20.4600522849552,25.6772060149381,30.6176114181644
"cases[70]",70,20.7299331680316,26.2091284941188,31.4706539718962
"cases[71]",71,20.9417553423478,26.7488730011469,32.349480901607
"cases[72]",72,21.1518031036247,27.2967524015543,33.3242707273884
"cases[73]",73,21.3912497611801,27.8575220313744,34.3452065231862
"cases[74]",74,21.5964539076046,28.4220446872976,35.3782831281518
"cases[75]",75,21.7767812427971,28.9950370696368,36.47839861786
