"","date","lower","median","upper"
"cases[77]",77,27.1455251328373,28.4888869680955,29.4577961612689
"cases[78]",78,27.8727450279247,29.2858473575933,30.277001239757
"cases[79]",79,28.6168678289698,30.0967595151579,31.1103067764634
"cases[80]",80,29.3769336941591,30.9199379258755,31.955732634938
"cases[81]",81,30.1498464093315,31.7529979185526,32.8133514869708
"cases[82]",82,30.9408364475442,32.5989865206243,33.6789909240272
"cases[83]",83,31.7466671263132,33.4556334824338,34.5519525915532
"cases[84]",84,32.570757238999,34.3257252829214,35.437094786206
"cases[85]",85,33.4075638677903,35.2051509972139,36.3327541436185
"cases[86]",86,34.2617112464924,36.0963147841547,37.2351825560106
"cases[87]",87,35.1335621896481,36.9977321670334,38.1429238998455
"cases[88]",88,36.0222129601403,37.908884164305,39.0641023207233
"cases[89]",89,36.9266385541705,38.8303269538719,39.9916614078856
"cases[90]",90,37.8467228268134,39.76157094773,40.9226124061961
"cases[91]",91,38.7855754190797,40.7017950702679,41.8611127558269
"cases[92]",92,39.7392908588286,41.6524751881778,42.8180486297604
"cases[93]",93,40.716914409086,42.6122436995615,43.7735541809797
"cases[94]",94,41.7128075088769,43.5822192975485,44.7382530919802
"cases[95]",95,42.7219161643507,44.5588705592568,45.7116865244509
"cases[96]",96,43.7451990744227,45.5460096007155,46.6950033397786
"cases[97]",97,44.7872349276994,46.5435226286657,47.6851073643373
"cases[98]",98,45.84947836165,47.5458858797021,48.6856258326805
"cases[99]",99,46.9240431515285,48.5607741087241,49.7094136173571
"cases[100]",100,48.0039732712342,49.5864616954973,50.7450450502132
"cases[101]",101,49.1020815760263,50.6213097112635,51.8114895492372
"cases[102]",102,50.203572015488,51.6648626346087,52.9116552745851
"cases[103]",103,51.29767637683,52.7223803346421,54.0479946772492
"cases[104]",104,52.3872691661779,53.7890976138291,55.2294125115714
"cases[105]",105,53.4363724528642,54.8648162719867,56.4592977572757
"cases[106]",106,54.4720839283597,55.9433757663589,57.7504314329588
"cases[107]",107,55.4929413645831,57.0340301843413,59.0790730786482
"cases[108]",108,56.478981235995,58.132866689164,60.4538096800591
"cases[109]",109,57.4512185483682,59.2362029063604,61.8723917441523
"cases[110]",110,58.408945906508,60.3426524423078,63.3255880298404
"cases[111]",111,59.352861085237,61.4553813687822,64.8106846776746
"cases[112]",112,60.2895962751057,62.5688337555023,66.331363816799
