"","date","lower","median","upper"
"cases[1]",1,19.5303886689294,80.7039692889393,143.780428856543
"cases[2]",2,20.0604026324475,81.4855644914957,144.139277516184
"cases[3]",3,20.5793946274955,82.2689310656726,144.632901577663
"cases[4]",4,21.13718360332,83.0639944742337,145.053468677706
"cases[5]",5,21.7033223798786,83.8644124123136,145.393413714817
"cases[6]",6,22.2887196968589,84.6717101506037,145.795126310183
"cases[7]",7,22.8660046574193,85.486785643615,146.248476600905
"cases[8]",8,23.4619084138824,86.3020364742609,146.662163170294
"cases[9]",9,24.1414233182792,87.1285501486942,147.056866629141
"cases[10]",10,24.7652122353543,87.9603834128078,147.472521979837
"cases[11]",11,25.4507661262652,88.8080817315994,147.946116545548
"cases[12]",12,26.1019054898446,89.6594260895922,148.32836449738
"cases[13]",13,26.7989392146934,90.5225466917156,148.781643225098
"cases[14]",14,27.5493976929177,91.3887082643485,149.192841268607
"cases[15]",15,28.3328493288215,92.2557269610955,149.801740725636
"cases[16]",16,29.1085334757567,93.1275400077539,150.301997809426
"cases[17]",17,29.8238462329963,94.0154015166169,150.756559985077
"cases[18]",18,30.6124585144833,94.9181937041206,151.291240230769
"cases[19]",19,31.4387789697473,95.8112893960565,151.74898648365
"cases[20]",20,32.2828466616995,96.7223710004289,152.247308231253
"cases[21]",21,33.2001549494986,97.6256913355155,152.747608151105
"cases[22]",22,34.0719645101527,98.5487421221739,153.289965689155
"cases[23]",23,34.9006910326516,99.4718046107707,153.775351080193
"cases[24]",24,36.0762947915192,100.399979640879,154.232027771348
"cases[25]",25,37.2672135652172,101.33919705381,154.786997530707
"cases[26]",26,38.4942122697829,102.29271205645,155.274498908047
"cases[27]",27,40.1664266116362,103.272190761039,156.002684489847
"cases[28]",28,42.499657151805,104.267627480365,156.425326591161
"cases[29]",29,45.3370730343194,105.305096853486,157.299705089295
"cases[30]",30,46.6158791594597,106.339192385781,158.683021273343
"cases[31]",31,47.6639876194406,107.353954306764,159.967832506239
"cases[32]",32,48.7121865093657,108.351027925269,160.827905505589
"cases[33]",33,49.7675474816148,109.358400899451,161.640860671666
"cases[34]",34,50.7111016242906,110.374323559742,162.514853729624
"cases[35]",35,51.8023867315879,111.413453672193,163.261345618256
"cases[36]",36,52.9246923019834,112.442978857893,163.849230465816
"cases[37]",37,54.1082066759807,113.495795762314,164.455394555343
"cases[38]",38,55.3955593745537,114.538656348983,164.989966403949
"cases[39]",39,56.6559686343651,115.588653966021,165.790447300587
"cases[40]",40,57.873129309218,116.654343439243,166.434684352262
"cases[41]",41,59.0385686618721,117.738110270326,167.218509373182
"cases[42]",42,60.2288267036032,118.816880133143,167.845297745009
"cases[43]",43,61.5308419826222,119.92360392421,168.493531934134
"cases[44]",44,62.924310902783,121.01187811,169.056579876853
"cases[45]",45,64.288321189941,122.122443664763,169.634276506809
"cases[46]",46,65.6885124640305,123.238416797691,170.358793072105
"cases[47]",47,67.0596883375036,124.357961209118,170.950533556679
"cases[48]",48,68.4268550425934,125.499697318614,171.466774851044
"cases[49]",49,69.8520358131078,126.642325883923,171.96872216885
"cases[50]",50,71.2019249572362,127.783304867794,172.745150638493
"cases[51]",51,72.6245469281001,128.992864778945,173.450012723572
"cases[52]",52,74.2596337267503,130.181196843147,174.12096612924
"cases[53]",53,75.9144469833108,131.362839405764,174.907766799791
"cases[54]",54,77.4315772185235,132.563936435206,175.593559612433
"cases[55]",55,78.9873813040486,133.762722408936,176.383348966423
"cases[56]",56,80.549585536855,134.972787338938,177.182663633076
"cases[57]",57,82.2342551331036,136.207691952418,177.973681055962
"cases[58]",58,84.0381901179694,137.444393957375,178.698046629352
"cases[59]",59,85.6860295743581,138.69900439716,179.337441180627
"cases[60]",60,87.4767970283105,139.945388867724,180.114717935971
"cases[61]",61,89.0910123929023,141.220476126243,180.80220775618
"cases[62]",62,90.9892213141255,142.496573152831,181.654229813256
"cases[63]",63,92.6699149981402,143.79119562342,182.324180670713
"cases[64]",64,94.3591539535079,145.08687625106,183.386995285127
"cases[65]",65,96.1889230636298,146.383013180237,184.324114028199
"cases[66]",66,98.1058011975631,147.709968800622,185.092719608249
"cases[67]",67,100.065748233185,149.049908704656,186.080797908845
"cases[68]",68,101.823875116181,150.391152088689,187.110498993779
"cases[69]",69,103.678081775484,151.746244318307,188.132296033302
