"","date","lower","median","upper"
"cases[61]",61,55.4801504260918,60.3062409826318,65.1721243186755
"cases[62]",62,59.3654718816521,64.0492657080594,68.7726494110184
"cases[63]",63,63.2697372896836,67.830560485169,72.4268900961849
"cases[64]",64,67.1899552761876,71.644166176365,76.1401370672338
"cases[65]",65,71.0931837004915,75.4765788458286,79.8942906542469
"cases[66]",66,74.9835469981235,79.3172118813591,83.6535425055749
"cases[67]",67,78.8586318958662,83.1552427005484,87.4818729520255
"cases[68]",68,82.6951147925668,86.9806687458069,91.3099404486192
"cases[69]",69,86.4793031575478,90.7885394343298,95.1485677622457
"cases[70]",70,90.214836480482,94.5788957570553,98.9386103206087
"cases[71]",71,93.9399310956653,98.3356463727938,102.718498705463
"cases[72]",72,97.6102846027412,102.053995126652,106.461689545668
"cases[73]",73,101.216194046492,105.727749050625,110.164445376591
"cases[74]",74,104.769252855802,109.348280091035,113.811525946686
"cases[75]",75,108.287022420271,112.913472740785,117.410613124114
"cases[76]",76,111.748236192631,116.424758143052,120.934085989481
