"","date","lower","median","upper"
"cases[1]",1,4.43515147587299,7.90383928909131,13.0681258287805
"cases[2]",2,4.52616589681629,8.01230588109224,13.1653628890725
"cases[3]",3,4.61924899296754,8.12149088610553,13.2728431246767
"cases[4]",4,4.71582316764039,8.23315775758048,13.3792858723038
"cases[5]",5,4.81417113684454,8.34597879950011,13.4793197703874
"cases[6]",6,4.91637520569238,8.45962151846252,13.5778235907348
"cases[7]",7,5.01803455196719,8.57446700234917,13.6781349858133
"cases[8]",8,5.12111463406545,8.69110227984286,13.7850303327716
"cases[9]",9,5.22484727069408,8.8097289011516,13.8781205314907
"cases[10]",10,5.33042035991055,8.92960118111826,13.9877265295478
"cases[11]",11,5.4380606693599,9.0513808727366,14.095431821562
"cases[12]",12,5.54755216737986,9.17385691196551,14.2036482582772
"cases[13]",13,5.6595124610989,9.29792387199675,14.3104371426669
"cases[14]",14,5.77502468444827,9.42530370503503,14.4214790340318
"cases[15]",15,5.89169155335297,9.55328344632234,14.5339423438352
"cases[16]",16,6.00924543065977,9.68343806901567,14.6401713527918
"cases[17]",17,6.13069814682744,9.81332280417891,14.749897481769
"cases[18]",18,6.25421671734712,9.94471219523219,14.8611365695827
"cases[19]",19,6.37619914879015,10.0785214524975,14.9731643794557
"cases[20]",20,6.50212528073798,10.2136012094492,15.0916141060663
"cases[21]",21,6.63590494363729,10.349936157666,15.2047689051379
"cases[22]",22,6.76445399476333,10.4881372017482,15.317610162201
"cases[23]",23,6.90000658310615,10.628111868865,15.4309223313267
"cases[24]",24,7.0379500333612,10.7711672226428,15.5496073060378
"cases[25]",25,7.1731581578728,10.9141566513976,15.671863498253
"cases[26]",26,7.31651964123661,11.0591647977162,15.7892304627258
"cases[27]",27,7.46176284505398,11.2060186172986,15.9110779345065
"cases[28]",28,7.6148401008716,11.3545878446722,16.0323802491935
"cases[29]",29,7.77296419005125,11.5053727702114,16.1538819609104
"cases[30]",30,7.92448956604123,11.6570409025095,16.2751167126196
"cases[31]",31,8.07587161085259,11.8108375067176,16.3939861658922
"cases[32]",32,8.23338911455613,11.9672603358646,16.5114308451771
"cases[33]",33,8.39405626054108,12.1256999710792,16.6395063741465
"cases[34]",34,8.55997658252503,12.2851986010541,16.766680247586
"cases[35]",35,8.72641952019598,12.4478354800516,16.8895655528674
"cases[36]",36,8.90404862134968,12.6115187007477,17.0179243463134
"cases[37]",37,9.08687281122206,12.7772054249287,17.1517336260568
"cases[38]",38,9.25658483051719,12.9435474374063,17.2879665876121
"cases[39]",39,9.430892185741,13.113930366863,17.422576451348
"cases[40]",40,9.61248239845126,13.2869564748545,17.5698032875112
"cases[41]",41,9.81279765331775,13.4620201694287,17.7052550742907
"cases[42]",42,9.99934315369199,13.6374806393573,17.8531703186868
"cases[43]",43,10.1885641276924,13.8150595174326,17.9931954594362
"cases[44]",44,10.384095364756,13.995733848043,18.133205200925
"cases[45]",45,10.5745700474535,14.1778429574888,18.2763378494895
"cases[46]",46,10.7775382131086,14.3623050895467,18.4248462446412
"cases[47]",47,10.9761731682994,14.5484781545571,18.5677668792547
"cases[48]",48,11.1760682720452,14.7386544490995,18.7022394755091
"cases[49]",49,11.3899508927844,14.9289024119854,18.8572748903535
"cases[50]",50,11.6039027136814,15.1228718812442,19.0146110298378
"cases[51]",51,11.8186443155136,15.3178721266857,19.1578659809226
"cases[52]",52,12.0348697693296,15.5150966340152,19.3128814085271
"cases[53]",53,12.2522575305997,15.7155516213795,19.4647115440926
"cases[54]",54,12.4858229949061,15.9189418096466,19.6284620715095
"cases[55]",55,12.7073892067742,16.1227146370924,19.7853290492464
"cases[56]",56,12.9413262976634,16.3297020559082,19.9445725654392
"cases[57]",57,13.1739896985077,16.5404568915711,20.1072722029239
"cases[58]",58,13.4110659760981,16.7511211230886,20.2756351212169
"cases[59]",59,13.6504702371426,16.9642976529669,20.4399432474993
"cases[60]",60,13.889476647557,17.1809126681204,20.6113378361078
"cases[61]",61,14.1343705997336,17.3999941620989,20.7831827196325
"cases[62]",62,14.3859332017158,17.6222808514704,20.9532229939191
"cases[63]",63,14.6400160863276,17.847253517865,21.1322077084942
"cases[64]",64,14.8910792984423,18.0743980115294,21.3056918281957
"cases[65]",65,15.1460660979472,18.3019379570451,21.4882720402714
"cases[66]",66,15.4095278883291,18.5341636808655,21.6725037437266
"cases[67]",67,15.6707100007059,18.7687756734775,21.862643621213
"cases[68]",68,15.9420892416776,19.0045827141246,22.0453346902359
"cases[69]",69,16.2169550042309,19.2433434683322,22.2422478875606
"cases[70]",70,16.4887869161165,19.4871023711223,22.4416839984591
"cases[71]",71,16.7618004693692,19.7315734545668,22.6463503478965
"cases[72]",72,17.0357355967526,19.9793186712684,22.8546911444727
"cases[73]",73,17.3146454596529,20.2321666666275,23.0660858112893
"cases[74]",74,17.6003603535458,20.4873193623456,23.273263102841
"cases[75]",75,17.8788033526763,20.7436858140471,23.4928643797385
"cases[76]",76,18.1730976926672,21.0051119714731,23.7136628457139
"cases[77]",77,18.4645188185117,21.266949241577,23.9386528134535
"cases[78]",78,18.7527531485207,21.5329324837206,24.1814473247117
"cases[79]",79,19.0417915750867,21.8022227189283,24.4317883236296
"cases[80]",80,19.3300287352185,22.0745200983538,24.6837421341908
"cases[81]",81,19.6186738536862,22.3504264601792,24.9381752872195
"cases[82]",82,19.9147521102424,22.6302805601006,25.2009540565974
"cases[83]",83,20.2020299173011,22.9129174835929,25.4626414128798
"cases[84]",84,20.4842537524608,23.199621322016,25.7346353489257
"cases[85]",85,20.7753139978947,23.48672818566,26.0165927097283
"cases[86]",86,21.051706442701,23.7771408286756,26.3157677339517
"cases[87]",87,21.3366142161209,24.0695425248508,26.6189732769522
"cases[88]",88,21.6183866680907,24.3672131058349,26.9295922588834
"cases[89]",89,21.8921584737889,24.6698195054309,27.2460180288384
"cases[90]",90,22.161676963206,24.9775389979809,27.5769400879466
"cases[91]",91,22.4257469711821,25.288089030145,27.9070764717961
"cases[92]",92,22.6979504627529,25.6015939555801,28.2582121792985
"cases[93]",93,22.9637546883982,25.9193228160045,28.6194761553734
"cases[94]",94,23.219332687297,26.2388196542713,28.9971096628379
"cases[95]",95,23.4816469311828,26.5623548353316,29.3884167823504
"cases[96]",96,23.7367263724817,26.8890817065418,29.7661997913926
"cases[97]",97,23.9887744251568,27.2218576154021,30.1584195998691
"cases[98]",98,24.2408839528536,27.5564638717623,30.5699857263558
"cases[99]",99,24.4694540966714,27.8959141610667,30.9970953185747
"cases[100]",100,24.7073300142507,28.239178749166,31.4269553915634
"cases[101]",101,24.941693929215,28.5874035323201,31.8744913800461
"cases[102]",102,25.1743651928249,28.9373320624267,32.3313181064038
"cases[103]",103,25.4031130455832,29.2914282108074,32.8217351126354
"cases[104]",104,25.6348853146806,29.6473649316571,33.2974294363268
"cases[105]",105,25.8605297006736,30.0115556504046,33.7879279821162
"cases[106]",106,26.0912525984614,30.378913294089,34.2875343190661
"cases[107]",107,26.3143333573021,30.7502081724933,34.7988386435556
"cases[108]",108,26.5438004703126,31.1230371842231,35.3294957291451
"cases[109]",109,26.7711717640027,31.5048139149293,35.8794965206635
