"","date","lower","median","upper"
"cases[59]",59,1198.82531225652,1245.48866283837,1292.39687956874
"cases[60]",60,1253.6344895098,1300.19206581608,1346.85652108412
"cases[61]",61,1309.01200543704,1355.46252140242,1402.19510449852
"cases[62]",62,1364.70571015615,1411.12668154706,1457.98844178726
"cases[63]",63,1420.73981124915,1467.25343634968,1514.16293520674
"cases[64]",64,1476.9503162225,1523.79474047718,1570.86720281138
"cases[65]",65,1533.42136118816,1580.58241216893,1627.99697218104
"cases[66]",66,1589.76042522066,1637.50683422025,1685.26120538928
"cases[67]",67,1646.36814388434,1694.60021232083,1742.75129962977
"cases[68]",68,1703.11943939206,1751.78874482477,1800.18776058006
"cases[69]",69,1759.96605601464,1808.90919530866,1857.73853166658
"cases[70]",70,1816.71790505514,1866.03758210472,1915.10791310774
"cases[71]",71,1873.29871884085,1923.05185677857,1972.36176680016
"cases[72]",72,1929.69033504882,1979.91432882907,2029.55208296799
"cases[73]",73,1986.1386485449,2036.52125582585,2086.36180003503
"cases[74]",74,2042.11068657954,2092.88118685622,2143.04375092897
"cases[75]",75,2097.85496316719,2148.93453626508,2199.18803954185
"cases[76]",76,2153.39280990016,2204.64648602246,2254.9728292223
"cases[77]",77,2208.4960227207,2259.88996197396,2310.3283867041
"cases[78]",78,2263.23913307457,2314.70317551058,2365.09003579436
"cases[79]",79,2317.42534352472,2369.08585914912,2419.30959172974
"cases[80]",80,2371.26246818978,2422.92115249124,2472.9901418195
"cases[81]",81,2424.79932633802,2476.23514361182,2526.13337054826
"cases[82]",82,2477.72713104341,2528.93495499486,2578.60411098939
"cases[83]",83,2530.05859700457,2580.9982999562,2630.39506610807
"cases[84]",84,2581.93779917291,2632.40234074968,2681.50665057533
