"","date","lower","median","upper"
"cases[46]",46,1104.90894570306,1117.22645274103,1129.41025262945
"cases[47]",47,1166.29306063309,1178.41742865479,1190.42117610503
"cases[48]",48,1228.10366934159,1240.05247714609,1251.86908907192
"cases[49]",49,1290.1564640029,1302.00643189398,1313.73224426754
"cases[50]",50,1352.30582908963,1364.1046517727,1375.73475151632
"cases[51]",51,1414.44817557585,1426.23143037172,1437.81321527239
"cases[52]",52,1476.53521396471,1488.28505712493,1499.85917641181
"cases[53]",53,1538.34830169434,1550.12896326021,1561.78211876648
"cases[54]",54,1599.77259631636,1611.65641911308,1623.36127088426
"cases[55]",55,1660.82735381695,1672.75493110379,1684.54545376107
"cases[56]",56,1721.32905408546,1733.32787442865,1745.23462640955
