"","date","lower","median","upper"
"cases[82]",82,58.6062877413209,64.1564896777215,69.4007456056972
"cases[83]",83,59.5484721211316,65.2247755019935,70.5690767486948
"cases[84]",84,60.4771682239629,66.3070666738039,71.7845112708091
"cases[85]",85,61.4129545720789,67.4040838122133,73.0125885551436
"cases[86]",86,62.3631755482415,68.5186466022632,74.2618113957411
"cases[87]",87,63.3276148613423,69.6534410993802,75.5783187940549
"cases[88]",88,64.2644696563133,70.7979887203927,76.8821218816711
"cases[89]",89,65.2080595212399,71.9586832992368,78.2343024908047
"cases[90]",90,66.1379682575406,73.135251544315,79.6134563792381
"cases[91]",91,67.0692550048504,74.3339856357994,81.0213060502392
"cases[92]",92,68.0253074824747,75.5510773149232,82.4845034400942
"cases[93]",93,68.9779569523275,76.7785676190941,83.967768113018
"cases[94]",94,69.9465897907635,78.0261608865959,85.5025084341051
"cases[95]",95,70.8956474973337,79.2876324812191,87.037434179945
"cases[96]",96,71.8674337728768,80.5687067581963,88.6268078563341
"cases[97]",97,72.8409817461259,81.8654492528359,90.2810989877302
