"","date","lower","median","upper"
"cases[42]",42,18.0117912305464,20.2346042917302,22.4257822742041
"cases[43]",43,19.114244412077,21.2561239911931,23.3552321960379
"cases[44]",44,20.2269872845688,22.2880689629825,24.3061939309955
"cases[45]",45,21.3517893422431,23.3315539237681,25.2736964311548
"cases[46]",46,22.4760104752504,24.3819928968216,26.2491085074183
"cases[47]",47,23.601302226417,25.4389488330824,27.2452804793844
"cases[48]",48,24.7108187653964,26.4989493261005,28.2559938529123
"cases[49]",49,25.8204525237729,27.5600223129664,29.2780398804796
"cases[50]",50,26.9234627322135,28.6223047977423,30.3075733833775
"cases[51]",51,28.0254754983394,29.6857413887203,31.3491694283718
"cases[52]",52,29.1098449891618,30.7482868185945,32.4015373650334
"cases[53]",53,30.1845622129562,31.8063328780299,33.4696105013404
"cases[54]",54,31.242176848054,32.8606171405773,34.5311568873113
"cases[55]",55,32.2847653627775,33.9114312793339,35.5844527343826
"cases[56]",56,33.3198269349063,34.9555113999234,36.6358573158682
"cases[57]",57,34.3407507006373,35.9909569740149,37.6820222147536
"cases[58]",58,35.3540771133364,37.0167556605052,38.7163225571252
"cases[59]",59,36.3568944968123,38.0320431672079,39.7441217435147
"cases[60]",60,37.3491222382066,39.0383729331815,40.7574303383548
"cases[61]",61,38.3252782840055,40.033050298371,41.7612496483073
"cases[62]",62,39.2949445051763,41.0140846837968,42.7436603160528
"cases[63]",63,40.2545204201626,41.9836449841006,43.7158323014504
"cases[64]",64,41.2000069579464,42.937580184686,44.6682904730909
"cases[65]",65,42.1401188072823,43.8778765179647,45.5972042648307
"cases[66]",66,43.0615819423531,44.802129861737,46.5122685180669
"cases[67]",67,43.9713888581791,45.7118267631795,47.4124287359082
"cases[68]",68,44.872757708113,46.6062306431558,48.2922060400998
"cases[69]",69,45.761637831973,47.4815974650704,49.1464654852219
"cases[70]",70,46.6321013265585,48.3408901957282,49.9834825244559
"cases[71]",71,47.4898058447565,49.1842843586761,50.8030050220801
