"","date","lower","median","upper"
"cases[38]",38,19.4990378656957,22.5258858423021,27.6676721597874
"cases[39]",39,20.3434494323943,23.2957296840007,28.1669718465554
"cases[40]",40,21.2025935965108,24.0728841544768,28.6698063510989
"cases[41]",41,22.0575611865957,24.8607708193564,29.1950701042637
"cases[42]",42,22.9221451922503,25.6607545083636,29.7156027475681
"cases[43]",43,23.7530991270692,26.4604990859467,30.2619809016947
"cases[44]",44,24.6307297624064,27.2678438347083,30.8484295495566
"cases[45]",45,25.4907149807966,28.0798422001826,31.4804381836446
"cases[46]",46,26.3523331059589,28.8982358324009,32.0803932985492
"cases[47]",47,27.2158185946576,29.7216809813464,32.7452941619602
"cases[48]",48,28.0808080871295,30.5474339821267,33.414996344494
"cases[49]",49,28.9461082985295,31.376919626234,34.1612491367476
"cases[50]",50,29.8029802336428,32.2102226518061,34.8925446651194
"cases[51]",51,30.6619195297197,33.0461732784802,35.650422278404
"cases[52]",52,31.5103774139645,33.888203494925,36.4065657840731
"cases[53]",53,32.3443916158127,34.7495607603654,37.1995421866204
"cases[54]",54,33.1959045038059,35.6151144633429,38.0222345204591
"cases[55]",55,34.0108758445205,36.4758276996032,38.863061319144
"cases[56]",56,34.8206784967776,37.3382756392761,39.7236578741571
"cases[57]",57,35.6295951823962,38.2028120981709,40.589184915131
"cases[58]",58,36.435281819506,39.0811415612719,41.4584206543493
"cases[59]",59,37.2009287650659,39.9557696323425,42.3453857459741
"cases[60]",60,38.0065413177849,40.8320380439102,43.2397220706543
"cases[61]",61,38.7743031771848,41.7151818827598,44.1318825815879
"cases[62]",62,39.5342351832961,42.5930368789873,45.0175529753892
"cases[63]",63,40.3006434014346,43.4768094076928,45.9159097758031
"cases[64]",64,41.0752430270945,44.3554142508415,46.8058624763652
"cases[65]",65,41.8372831490385,45.2363832477829,47.6956953021805
"cases[66]",66,42.6083798201196,46.1225597576887,48.5903598992646
"cases[67]",67,43.3826522996179,47.0077884418736,49.4734993779277
"cases[68]",68,44.1725709406819,47.8815290899023,50.3305360941488
"cases[69]",69,44.9599645560749,48.7659918345072,51.2062361467719
"cases[70]",70,45.7565551847143,49.64113150559,52.0744900074885
"cases[71]",71,46.5546723101918,50.513710596896,52.9307884916569
"cases[72]",72,47.3764565621627,51.3872377983598,53.7910096622084
"cases[73]",73,48.1996499994637,52.2552195623761,54.6299883047796
"cases[74]",74,49.0293474960869,53.1334285604669,55.4737430789793
"cases[75]",75,49.8730046291997,53.9935533244666,56.3149591816995
"cases[76]",76,50.7230618383017,54.8443791016619,57.1412525965152
"cases[77]",77,51.5858456437467,55.6893020223961,57.9672843523952
"cases[78]",78,52.4596855349685,56.5375061070086,58.7882675003567
"cases[79]",79,53.3364176658276,57.3766099332883,59.6150996664457
"cases[80]",80,54.2336223433587,58.2095236210451,60.4317917436328
"cases[81]",81,55.1258083515197,59.0383679023129,61.2401248606776
"cases[82]",82,56.027878216344,59.8691670402026,62.0472313407395
"cases[83]",83,56.9554067423653,60.6865386109633,62.8627539529552
"cases[84]",84,57.870381184501,61.5035855657373,63.6887356895773
"cases[85]",85,58.7923786391209,62.3110775390573,64.494790660203
"cases[86]",86,59.7243199778953,63.111619774386,65.3117598908979
"cases[87]",87,60.6412647344107,63.9078826824438,66.1464548309496
"cases[88]",88,61.5490374165499,64.7021514007143,67.0163106599342
"cases[89]",89,62.4640596584611,65.4868601435983,67.94095921475
"cases[90]",90,63.3213053186373,66.2757793972194,68.7898110248421
"cases[91]",91,64.1891430795149,67.0525029337774,69.6618084593643
"cases[92]",92,65.0047737615745,67.8270122262443,70.5461903055711
"cases[93]",93,65.7839045024739,68.5955076779673,71.4662497601984
"cases[94]",94,66.5351603615603,69.356521300392,72.3801817525164
"cases[95]",95,67.2351064281823,70.111576851958,73.339749564662
"cases[96]",96,67.9019483965516,70.8661466131578,74.310215990477
"cases[97]",97,68.5453222877184,71.6133936166746,75.3800631817011
"cases[98]",98,69.1687341717605,72.3492112971024,76.3789383862079
"cases[99]",99,69.7583491637372,73.0812154576256,77.2827428290527
"cases[100]",100,70.3584844397824,73.8110311241679,78.392389060243
"cases[101]",101,70.8712315448419,74.5299612979867,79.547642307024
"cases[102]",102,71.3787523845504,75.2362815313599,80.7388799386333
"cases[103]",103,71.8664514405754,75.9399343647422,81.9915592068604
"cases[104]",104,72.4093358286465,76.6288821102709,83.2649499350178
"cases[105]",105,72.8986948125805,77.3102792356387,84.575476351683
"cases[106]",106,73.364966382994,77.9800239235382,85.939862763962
