"","date","lower","median","upper"
"cases[50]",50,54.709485708826,58.5158294421899,62.5341031860754
"cases[51]",51,56.2341227331243,60.0999474846278,64.0684622134388
"cases[52]",52,57.7534066213934,61.7064839240933,65.6349059461449
"cases[53]",53,59.2671140683001,63.3383882920961,67.2553469739562
"cases[54]",54,60.8048344450619,64.9839329879903,68.9067889951555
"cases[55]",55,62.3270988815686,66.657667749725,70.5985005564877
"cases[56]",56,63.8711747110186,68.3514148385263,72.3145773519725
"cases[57]",57,65.4087485964312,70.0616745505232,74.0456479770872
"cases[58]",58,66.975543961554,71.7945794313264,75.825568698434
"cases[59]",59,68.5522269821256,73.5470762443468,77.6319183470646
"cases[60]",60,70.141340768264,75.318102579033,79.4580447776302
"cases[61]",61,71.7633897355454,77.1075815455779,81.3030444287257
"cases[62]",62,73.3890637244664,78.9130501241833,83.1564296514544
"cases[63]",63,75.021685551995,80.7348473471641,85.0280742027853
"cases[64]",64,76.6944127752,82.5766649436997,86.9101039722639
"cases[65]",65,78.3996324421571,84.4305472294578,88.8163800598546
"cases[66]",66,80.1093225857072,86.3072838690098,90.7348325705637
"cases[67]",67,81.8349212923487,88.1955546766396,92.6674431494721
"cases[68]",68,83.6064820444328,90.0992216214206,94.6060220724457
"cases[69]",69,85.3974587573257,92.0194410970608,96.5573012932617
"cases[70]",70,87.2091861353471,93.9572771241159,98.517346500449
"cases[71]",71,89.037898988405,95.9091988403626,100.474594758214
"cases[72]",72,90.9166403325121,97.8716091210334,102.441076130155
"cases[73]",73,92.816491171764,99.8453591387906,104.416228996869
"cases[74]",74,94.7441351204913,101.832899338441,106.390446397309
"cases[75]",75,96.6995908123408,103.833315419081,108.381226891119
"cases[76]",76,98.6878452900796,105.845440705461,110.378784206755
"cases[77]",77,100.718364776917,107.869035505958,112.355779081645
"cases[78]",78,102.763233945397,109.900183013158,114.353379647924
"cases[79]",79,104.837851357518,111.938482802981,116.347747307465
"cases[80]",80,106.950554652581,113.985554887041,118.351291712061
"cases[81]",81,109.084197004022,116.045938572815,120.360957419915
"cases[82]",82,111.239964403317,118.114830968214,122.382037099316
"cases[83]",83,113.428232024216,120.186333828112,124.390528165757
"cases[84]",84,115.652244917513,122.27033030682,126.412090125571
"cases[85]",85,117.890173748207,124.356854571149,128.459498383995
"cases[86]",86,120.147516596774,126.454723620397,130.50228186136
"cases[87]",87,122.452920694286,128.558636239065,132.557326566151
"cases[88]",88,124.777682490117,130.671033919936,134.625856473898
"cases[89]",89,127.1106745669,132.79146266485,136.722050195371
"cases[90]",90,129.449483168741,134.914533426361,138.838114742295
"cases[91]",91,131.777411734934,137.048204539166,140.988290912176
"cases[92]",92,134.112158115303,139.18813598149,143.176390154132
"cases[93]",93,136.441798021616,141.344283884308,145.400659692094
"cases[94]",94,138.698294144028,143.495353023452,147.686352296623
"cases[95]",95,140.946704865118,145.662984209364,150.042420192951
"cases[96]",96,143.097351999426,147.828483988141,152.456370598802
"cases[97]",97,145.206379728186,150.003638286435,154.940054296447
"cases[98]",98,147.27759118342,152.189154739518,157.530256795042
"cases[99]",99,149.259242891938,154.366061311751,160.198138583267
"cases[100]",100,151.21184510676,156.546396527677,162.924859557338
"cases[101]",101,153.130068813394,158.731922027587,165.78668087508
"cases[102]",102,154.970418454119,160.910538101413,168.711394053407
"cases[103]",103,156.785697199591,163.088606411956,171.71493012145
"cases[104]",104,158.568397741772,165.267321410805,174.808351192863
"cases[105]",105,160.321311596473,167.440481989633,177.981793828799
"cases[106]",106,162.033446147172,169.61002105489,181.196901848139
"cases[107]",107,163.72495277938,171.770872227763,184.525036525854
