"","date","lower","median","upper"
"cases[55]",55,79.4654356225246,81.3860580584032,83.3179569618089
"cases[56]",56,83.1219290927037,85.030037179654,86.9516355230612
"cases[57]",57,86.8081933014409,88.7051095035922,90.624634837544
"cases[58]",58,90.5072123119872,92.4094101261541,94.3260567041947
"cases[59]",59,94.219946963898,96.1297157657802,98.0486919918157
"cases[60]",60,97.9431817568819,99.8648033918772,101.7973443916
"cases[61]",61,101.672085011104,103.611716930733,105.560506615866
"cases[62]",62,105.39977875206,107.364491475778,109.334069068725
"cases[63]",63,109.147949467447,111.116961392894,113.109715343188
"cases[64]",64,112.873110445556,114.868727776979,116.894676916184
"cases[65]",65,116.58784937837,118.614361165106,120.664227952478
"cases[66]",66,120.299345777471,122.347442243394,124.421129393755
"cases[67]",67,123.988096653992,126.064251269347,128.158058196913
"cases[68]",68,127.661014513101,129.763820684128,131.877420204814
"cases[69]",69,131.310802391178,133.438337598816,135.575806624471
"cases[70]",70,134.935859137522,137.089853687467,139.245666521105
"cases[71]",71,138.528967385004,140.710759324096,142.875833767958
"cases[72]",72,142.099109306367,144.298592008556,146.479031670784
"cases[73]",73,145.638968765957,147.850063089782,150.040598545749
"cases[74]",74,149.147921497191,151.364276283577,153.552738314512
"cases[75]",75,152.615664319208,154.839156608741,157.034138768501
