"","date","lower","median","upper"
"cases[52]",52,256.891226161687,262.752933888559,268.712423835518
"cases[53]",53,267.757165792474,273.633152585437,279.605063194728
"cases[54]",54,278.723007156059,284.604618037779,290.596573420751
"cases[55]",55,289.753226531196,295.661907783082,301.660253839811
"cases[56]",56,300.855307754705,306.782915870878,312.808616855079
"cases[57]",57,312.008857831578,317.960367466424,324.004858110141
"cases[58]",58,323.169269708356,329.176906257268,335.26379722016
"cases[59]",59,334.369514860725,340.423308515964,346.553003832112
"cases[60]",60,345.601091159219,351.687942427382,357.868742180942
"cases[61]",61,356.836011207277,362.961376527604,369.195906383811
"cases[62]",62,368.055398028642,374.22416674759,380.509701825684
"cases[63]",63,379.240883831194,385.474333430346,391.820181802077
"cases[64]",64,390.418427230472,396.702421139389,403.087734277228
"cases[65]",65,401.536267317371,407.890218019538,414.309151542191
"cases[66]",66,412.629504669367,419.032280663999,425.494783232598
"cases[67]",67,423.666068067918,430.120386322158,436.606040974881
"cases[68]",68,434.650441803873,441.152488251028,447.66496860734
"cases[69]",69,445.590741419771,452.10600558651,458.641527729136
"cases[70]",70,456.460146306623,462.980332757878,469.531379639071
"cases[71]",71,467.221984723876,473.765576853925,480.312589795035
"cases[72]",72,477.902019105814,484.456668910862,491.007459919601
"cases[73]",73,488.478215466014,495.04402601084,501.586697308161
"cases[74]",74,498.987859819709,505.520877272401,512.056891079796
"cases[75]",75,509.370451051072,515.895808421292,522.417918099988
