"","date","lower","median","upper"
"cases[1]",1,0,0,Inf
"cases[2]",2,0,0,Inf
"cases[3]",3,0,0,Inf
"cases[4]",4,0,0,Inf
"cases[5]",5,0,0,Inf
"cases[6]",6,0,0,Inf
"cases[7]",7,0,0,Inf
"cases[8]",8,0,0,Inf
"cases[9]",9,0,0,Inf
"cases[10]",10,0,0,Inf
"cases[11]",11,0,0,Inf
"cases[12]",12,0,0,Inf
"cases[13]",13,0,0,Inf
"cases[14]",14,0,0,Inf
"cases[15]",15,0,0,Inf
"cases[16]",16,0,0,Inf
"cases[17]",17,0,0,Inf
"cases[18]",18,0,0,Inf
"cases[19]",19,0,0,Inf
"cases[20]",20,0,0,Inf
"cases[21]",21,0,7.39792742330346e-300,Inf
"cases[22]",22,0,9.76775768602416e-243,Inf
"cases[23]",23,0,9.01801665303317e-196,Inf
"cases[24]",24,0,2.53325026010272e-158,Inf
"cases[25]",25,0,6.04059579397744e-128,Inf
"cases[26]",26,0,6.89957655199086e-105,Inf
"cases[27]",27,0,5.79315447007466e-85,Inf
"cases[28]",28,0,3.56485792629375e-69,Inf
"cases[29]",29,0,4.9381744390959e-56,Inf
"cases[30]",30,0,2.40834072265273e-45,Inf
"cases[31]",31,0,8.21400024459085e-37,Inf
"cases[32]",32,0,5.55250708761158e-30,Inf
"cases[33]",33,0,3.06376504281989e-24,Inf
"cases[34]",34,0,2.02762696193693e-19,Inf
"cases[35]",35,0,1.2731981586149e-15,Inf
"cases[36]",36,0,1.84979647848338e-12,2.45147888457893e+265
"cases[37]",37,0,5.31154189910565e-10,1.04676707211052e+179
"cases[38]",38,0,4.99368851480498e-08,8.49746655293606e+122
"cases[39]",39,0,2.37467362161922e-06,5.73375747559069e+80
"cases[40]",40,0,5.15154338654378e-05,1.27176733967008e+55
"cases[41]",41,0,0.000552409423332717,1.57764366472903e+35
"cases[42]",42,0,0.0041054122091525,1.65275164450312e+23
"cases[43]",43,0,0.0209059099336156,12067697771137836
"cases[44]",44,0,0.0819237920282181,124984570514.705
"cases[45]",45,0,0.235524276456996,74037823.9772128
"cases[46]",46,0,0.56156249688752,532859.428431264
"cases[47]",47,0,1.11730493781233,18928.215911174
"cases[48]",48,0,2.03439742116012,2613.62291422154
"cases[49]",49,0,3.29256813659645,577.79775585536
"cases[50]",50,0,4.84847942782743,221.006437796755
"cases[51]",51,0,6.78365312022441,121.811495808354
"cases[52]",52,5.03582855808715e-130,9.01552581115282,78.673326072513
"cases[53]",53,7.17979008210504e-17,11.4377215749151,56.9299781536511
"cases[54]",54,0.078849863294301,14.1574769495212,45.7343398578862
"cases[55]",55,5.16731509014825,18.2225487929906,39.0929057223003
"cases[56]",56,8.35215768535521,22.4281522083809,38.0394280916874
"cases[57]",57,9.55110915871643,24.3921896020047,38.9739131619131
"cases[58]",58,10.2879266937393,25.6605846377551,39.6049587261437
"cases[59]",59,10.8912946795488,26.5332531534905,40.0925412963249
"cases[60]",60,11.4015032603439,27.1850176979717,40.4681824655245
"cases[61]",61,11.8414584591852,27.7089924358802,40.7708212300332
"cases[62]",62,12.2198714835734,28.0976369948588,40.9196023984631
"cases[63]",63,12.534546759216,28.4264740799981,41.0115089299766
"cases[64]",64,12.8986139992259,28.6625757884647,41.1530309592725
"cases[65]",65,13.2288638710144,28.8968939103337,41.2635421445181
"cases[66]",66,13.5250008106709,29.0722672036503,41.3796409779616
"cases[67]",67,13.7992067345324,29.2383078409787,41.4801337359882
"cases[68]",68,14.1184506551605,29.3704789348354,41.5847673618691
"cases[69]",69,14.4347818907511,29.4899664695784,41.7072953603516
"cases[70]",70,14.6439952330673,29.6078878914412,41.8433964432887
"cases[71]",71,14.9724839996537,29.7289809167204,42.0104789107141
"cases[72]",72,15.2589213270643,29.8497577959442,42.12636875644
"cases[73]",73,15.6037485771786,29.939319660763,42.2665990793534
"cases[74]",74,15.8834199084556,30.0294428724935,42.3892520183676
"cases[75]",75,16.1726302768627,30.1241090742221,42.5083589723136
"cases[76]",76,16.4910689344548,30.2271524767778,42.681160129171
"cases[77]",77,16.755244606862,30.3443075099657,42.8744553457838
"cases[78]",78,17.0256244992483,30.4191613446874,43.0212354003566
"cases[79]",79,17.3308659486494,30.5080660760887,43.1461368456405
"cases[80]",80,17.5943889962563,30.5982713214222,43.3136827203063
"cases[81]",81,17.8330464342776,30.6687692694604,43.4836414438073
"cases[82]",82,18.0621576524673,30.7485038191049,43.7119511775105
"cases[83]",83,18.3327427838897,30.8237216211178,43.9727947981282
"cases[84]",84,18.5010022665233,30.9018531176183,44.1493780315813
"cases[85]",85,18.6919727874823,30.9972612224249,44.396889837378
"cases[86]",86,18.8406297724396,31.0773982566502,44.7054998246061
"cases[87]",87,19.0225956957146,31.1614506787573,44.9930949057786
"cases[88]",88,19.2533970219758,31.2508252311796,45.2873538701072
"cases[89]",89,19.4544542984205,31.3324325890472,45.6413552185555
"cases[90]",90,19.6568630354167,31.3997924713432,45.9974119048065
"cases[91]",91,19.8416171561854,31.4713647182532,46.2979841531506
"cases[92]",92,20.0019961377913,31.5462648356312,46.7799063197586
"cases[93]",93,20.1700291672228,31.6196064074781,47.1918669320255
"cases[94]",94,20.2858576927492,31.6923539932054,47.7261406988615
"cases[95]",95,20.363008977576,31.7662552588985,48.1838779876294
"cases[96]",96,20.4987383443882,31.8270194390947,48.8064695312411
"cases[97]",97,20.6248042453246,31.8957170438745,49.3969599395549
"cases[98]",98,20.7026324757745,31.9581285912142,49.9891798507459
"cases[99]",99,20.7826505772207,32.0135631431113,50.6892060306487
"cases[100]",100,20.8712882198743,32.065520942293,51.4685932773146
"cases[101]",101,20.9440820545652,32.116063926175,52.2447084008621
"cases[102]",102,21.0482879389289,32.1580637115673,53.0503910902709
"cases[103]",103,21.1267284242893,32.1998000544374,53.8473841110489
