"","date","lower","median","upper"
"cases[45]",45,343.800047220594,359.493572349613,375.343397834301
"cases[46]",46,363.850383824044,379.249794869919,394.830038598604
"cases[47]",47,384.057176211861,399.211072446093,414.440678011352
"cases[48]",48,404.440753395922,419.308745405562,434.329775561522
"cases[49]",49,424.926725881458,439.520821806357,454.285201909161
"cases[50]",50,445.401548609675,459.811166400471,474.351347128012
"cases[51]",51,465.901634680477,480.11469120327,494.452542934864
"cases[52]",52,486.393823303407,500.443428603234,514.647417930255
"cases[53]",53,506.759213399045,520.736869129062,534.823891058933
"cases[54]",54,527.050087893305,540.964455139843,554.983445212765
"cases[55]",55,547.158942687264,561.056593792783,575.024028333508
"cases[56]",56,567.088022299948,581.022308129275,594.983617571022
"cases[57]",57,586.886105258836,600.830946834367,614.776197294546
"cases[58]",58,606.455033672289,620.431726347228,634.430220254774
"cases[59]",59,625.784135099434,639.824463732885,653.82308498306
