"","date","lower","median","upper"
"cases[39]",39,25.5775535682779,26.63594654648,27.6862917555784
"cases[40]",40,26.9856324785895,27.9985313141356,29.0046956648542
"cases[41]",41,28.4020189614232,29.3729926099361,30.3367954312675
"cases[42]",42,29.82416402692,30.7569687965643,31.6828681274059
"cases[43]",43,31.2494527413921,32.145911947256,33.0390667949046
"cases[44]",44,32.675781957465,33.5402038976765,34.4031558178397
"cases[45]",45,34.0925732991344,34.9343882492958,35.7715498244711
"cases[46]",46,35.507152194901,36.3276950993688,37.1457515774299
"cases[47]",47,36.9116282892255,37.7173813662313,38.5194242723848
"cases[48]",48,38.3088171352806,39.1019914414935,39.8926836364435
"cases[49]",49,39.6919820138578,40.479175350073,41.2625728377125
"cases[50]",50,41.0638485468066,41.8467751210669,42.6277079780128
"cases[51]",51,42.4185988137431,43.2026914332295,43.9884450312821
"cases[52]",52,43.760803757585,44.5467096260142,45.3343212907908
"cases[53]",53,45.0836761238824,45.8769799635301,46.671796489092
