"","date","lower","median","upper"
"cases[51]",51,827.393293112915,838.659191838439,849.893631356379
"cases[52]",52,869.044428140256,880.455030306407,891.789482146232
"cases[53]",53,911.116402676886,922.637027271792,934.143582142654
"cases[54]",54,953.440304503322,965.155173931623,976.797697254217
"cases[55]",55,996.06398504777,1007.91932472606,1019.7052505952
"cases[56]",56,1038.88626886468,1050.8686745692,1062.79106659454
"cases[57]",57,1081.83274712132,1093.93908995365,1105.8960490334
"cases[58]",58,1124.89517393762,1137.06333410141,1149.08093480117
"cases[59]",59,1167.93267780211,1180.14293016889,1192.20400696322
"cases[60]",60,1210.92879260168,1223.15351367272,1235.25175281271
"cases[61]",61,1253.85130402164,1266.03525371757,1278.03505795431
"cases[62]",62,1296.64526160123,1308.70841604909,1320.63262937474
"cases[63]",63,1339.19664409147,1351.14499747414,1362.91993772896
"cases[64]",64,1381.47751493146,1393.29105695786,1404.94911203974
"cases[65]",65,1423.43840584203,1435.06803353717,1446.57869821561
"cases[66]",66,1465.02156291479,1476.47230579296,1487.87228858433
"cases[67]",67,1506.17936543507,1517.46409825131,1528.76897806839
"cases[68]",68,1546.80703163912,1557.99099825778,1569.27817930964
