"","date","lower","median","upper"
"cases[49]",49,50.7166929908529,53.8927433480633,57.2975863507671
"cases[50]",50,53.0899871069888,56.198595282556,59.505202875471
"cases[51]",51,55.4799452351179,58.5277916723145,61.7332334331249
"cases[52]",52,57.8798612835036,60.882786105003,64.0006594232528
"cases[53]",53,60.2972894572845,63.2555429830588,66.2956552045926
"cases[54]",54,62.7057273627372,65.6503030169757,68.6340972051229
"cases[55]",55,65.1251383408644,68.0618246983476,71.0058061371007
"cases[56]",56,67.5463495515428,70.4847139629133,73.4128661358232
"cases[57]",57,69.9777556653564,72.9271651142729,75.8374084860492
"cases[58]",58,72.3930522131192,75.3750694318137,78.2912742853729
"cases[59]",59,74.8154660700867,77.8329094798936,80.7586928525312
"cases[60]",60,77.2421648107124,80.2919085927317,83.2430686982873
"cases[61]",61,79.6640901890367,82.7554903765606,85.7199825223983
"cases[62]",62,82.0764809219154,85.2203758379386,88.19758707942
"cases[63]",63,84.5066016124558,87.6819102541117,90.6815105740977
"cases[64]",64,86.9231999148458,90.1397957387458,93.1689025665091
"cases[65]",65,89.3436644209454,92.5936654113586,95.6317247909056
"cases[66]",66,91.7586591586843,95.042419337897,98.0940528892887
"cases[67]",67,94.1546468146044,97.4785317836926,100.546476024237
"cases[68]",68,96.5552485565335,99.9046438658445,102.970804235137
"cases[69]",69,98.9463016503217,102.317583287894,105.379805465996
"cases[70]",70,101.33877392253,104.714032248554,107.770007379029
"cases[71]",71,103.722807009185,107.096124387189,110.125254753376
"cases[72]",72,106.106025948912,109.460993297984,112.45387939227
"cases[73]",73,108.476244600681,111.805794594437,114.764078292445
"cases[74]",74,110.821722119355,114.131439286012,117.061205141423
"cases[75]",75,113.162468522404,116.433956035799,119.330285770096
"cases[76]",76,115.489665604062,118.710413569411,121.573724793577
"cases[77]",77,117.784472690764,120.964289395407,123.789286341487
"cases[78]",78,120.069652301575,123.193119277991,125.989949923578
"cases[79]",79,122.32666413203,125.395903942728,128.180654501261
"cases[80]",80,124.543909117184,127.573323803039,130.339794186313
"cases[81]",81,126.733548096829,129.73016988302,132.485002088473
"cases[82]",82,128.890838773911,131.854078980622,134.620422891386
"cases[83]",83,130.978040028514,133.949783585959,136.742663073431
"cases[84]",84,133.040239476003,136.014698180748,138.869202342921
"cases[85]",85,135.041934711618,138.056755695108,140.972553485226
"cases[86]",86,136.989185980616,140.070426080278,143.073941897899
"cases[87]",87,138.872034249895,142.051165159266,145.181236522214
"cases[88]",88,140.705079967537,144.004239421167,147.27602654752
"cases[89]",89,142.477343301156,145.929365807982,149.394421614806
"cases[90]",90,144.199435790409,147.820363593657,151.48681016572
"cases[91]",91,145.864767204078,149.674386110224,153.595512316372
"cases[92]",92,147.46514837623,151.497989912157,155.699986322213
"cases[93]",93,149.017094163703,153.300632179975,157.805626920952
"cases[94]",94,150.528539193587,155.061188125229,159.891233286325
"cases[95]",95,152.000640090606,156.786765326685,161.988069046286
"cases[96]",96,153.426374721417,158.480511720725,164.030053726668
