"","date","lower","median","upper"
"cases[32]",32,253.129647807899,259.156832512369,265.188226969019
"cases[33]",33,263.449643252895,269.524261065439,275.58054630251
"cases[34]",34,273.84171711825,279.984522818893,286.100158063494
"cases[35]",35,284.339477056456,290.534880067584,296.727430461541
"cases[36]",36,294.902346529538,301.155195547948,307.424280031549
"cases[37]",37,305.488449553054,311.84374143366,318.239411403514
"cases[38]",38,316.146530435406,322.595143584247,329.102309102053
"cases[39]",39,326.836041796431,333.386489517756,340.009850887286
"cases[40]",40,337.52073414788,344.207798436584,350.978046720298
"cases[41]",41,348.226102416142,355.058052945729,361.945929963541
"cases[42]",42,358.951838674495,365.914769122757,372.945036659977
"cases[43]",43,369.683919172664,376.783690028656,383.954523694889
"cases[44]",44,380.404917846813,387.638621756317,394.962309529764
"cases[45]",45,391.107503854155,398.487181006292,405.955358764878
"cases[46]",46,401.789771956596,409.309503129503,416.957032070492
"cases[47]",47,412.465769615282,420.108460816345,427.890672441584
"cases[48]",48,423.086494238558,430.865004183312,438.791297702713
"cases[49]",49,433.657610488545,441.576327518523,449.633688672311
"cases[50]",50,444.180466250917,452.231827550259,460.429514905343
"cases[51]",51,454.650896861894,462.815976289545,471.148872870972
"cases[52]",52,465.027942783632,473.338400343769,481.774387354855
"cases[53]",53,475.359386311595,483.787630800351,492.33091611909
"cases[54]",54,485.645285261279,494.15594640258,502.7905932921
"cases[55]",55,495.865144119335,504.438738754223,513.14081912993
"cases[56]",56,505.955878661147,514.63169566035,523.411867592267
"cases[57]",57,515.994016787766,524.723247476825,533.552108720608
"cases[58]",58,525.910842699066,534.713752747388,543.61032484464
"cases[59]",59,535.741426890586,544.602807154966,553.568136958768
"cases[60]",60,545.453704215133,554.378523287179,563.400160807269
