"","date","lower","median","upper"
"cases[51]",51,65.7607306634906,68.508938499574,71.2477097359797
"cases[52]",52,68.8183303330656,71.6265598109083,74.3814858250358
"cases[53]",53,71.9030384857323,74.7872421295523,77.5684864533264
"cases[54]",54,75.0162265598609,77.9857862857404,80.8078059818359
"cases[55]",55,78.1713506862142,81.2148611897143,84.0823562165181
"cases[56]",56,81.3502577494316,84.4774157042747,87.3789479656744
"cases[57]",57,84.5562659521892,87.7676056268826,90.7080638154777
"cases[58]",58,87.7946745447627,91.0842683381939,94.060656010242
"cases[59]",59,91.0821040892404,94.4210937692356,97.4089546971882
"cases[60]",60,94.3988108489827,97.7689528699898,100.772471023244
"cases[61]",61,97.7448005661703,101.133847219605,104.133806337985
"cases[62]",62,101.110301636393,104.5061227001,107.497464490385
"cases[63]",63,104.503906035061,107.883723338479,110.84948754188
"cases[64]",64,107.922486438048,111.266022663328,114.208999731879
"cases[65]",65,111.343794546845,114.649632778331,117.577585405601
"cases[66]",66,114.788780862927,118.026053973918,120.923291830674
"cases[67]",67,118.218692574341,121.396038271418,124.284041845508
"cases[68]",68,121.640776351237,124.760435629882,127.6402825229
"cases[69]",69,125.04089745425,128.115101093483,131.01035985473
"cases[70]",70,128.381584315251,131.455762141877,134.392637543061
"cases[71]",71,131.660329238656,134.777207922559,137.816258715246
"cases[72]",72,134.856898320263,138.081592774904,141.296222044062
"cases[73]",73,137.979262195973,141.367500803464,144.784448033272
"cases[74]",74,140.999838481473,144.636700789036,148.353610896704
"cases[75]",75,143.947210275199,147.875364506175,151.966752268997
"cases[76]",76,146.78910122341,151.084412698649,155.678021619595
"cases[77]",77,149.573268030422,154.263987420233,159.425899041918
"cases[78]",78,152.277462331681,157.409404346267,163.191353904325
