"","date","lower","median","upper"
"cases[30]",30,15.0350280588605,17.0214160050428,19.1081527699333
"cases[31]",31,15.3424650379678,17.2978871821028,19.3621171172044
"cases[32]",32,15.6456651025625,17.5783752173654,19.6263097569263
"cases[33]",33,15.9469033453875,17.8623669125717,19.8821884932306
"cases[34]",34,16.2503568028694,18.1488768527162,20.1492104032008
"cases[35]",35,16.5552312791033,18.4400695691091,20.4149229472163
"cases[36]",36,16.863328773004,18.7352877606561,20.6910228693912
"cases[37]",37,17.1759033048365,19.0362649375466,20.9721263153649
"cases[38]",38,17.4933048253107,19.3429696292589,21.2521026829333
"cases[39]",39,17.8144749840388,19.6516877883231,21.5386865404354
"cases[40]",40,18.1372878985715,19.9665728611698,21.8283520989164
"cases[41]",41,18.465334128937,20.2839407907821,22.123563752494
"cases[42]",42,18.7942204257777,20.6047682291751,22.4242236155819
"cases[43]",43,19.1337164106793,20.9314987759492,22.7331990791389
"cases[44]",44,19.4744659642577,21.2650801663947,23.0474169903704
"cases[45]",45,19.8207972830564,21.6036668293529,23.3625491180134
"cases[46]",46,20.1713262142468,21.9429555186174,23.6901789577801
"cases[47]",47,20.5212097413357,22.28744966686,24.0205733078146
"cases[48]",48,20.8801964623899,22.6369304079908,24.3531806618297
"cases[49]",49,21.2426374387969,22.9917922396596,24.69769124766
"cases[50]",50,21.6069550108526,23.3500097977375,25.0419492301913
"cases[51]",51,21.9703919469952,23.7127201606274,25.3977634958549
"cases[52]",52,22.3462129258061,24.0778258864538,25.7594254883333
"cases[53]",53,22.7257917856894,24.450132421385,26.1332258961426
"cases[54]",54,23.1056107621645,24.8253519892377,26.5178502288716
"cases[55]",55,23.4855749065604,25.2058985481546,26.8970383413371
"cases[56]",56,23.8645481716165,25.592758766916,27.2908353848786
"cases[57]",57,24.2463944532859,25.9833251409424,27.6899653761017
"cases[58]",58,24.6332303068163,26.3791022899783,28.0990248991376
"cases[59]",59,25.0283127984332,26.7795970756076,28.5231807233062
"cases[60]",60,25.4200870037085,27.1844580074088,28.9505453059985
"cases[61]",61,25.81264124873,27.5970671896359,29.3796968996227
"cases[62]",62,26.2064696110865,28.0144827447052,29.8264600010462
"cases[63]",63,26.6021374886309,28.4394867111974,30.2782501703073
"cases[64]",64,26.9951462171861,28.8698835665925,30.7438205779923
"cases[65]",65,27.3901570180425,29.3062220450325,31.2190974000168
"cases[66]",66,27.7881979019919,29.7479143511637,31.702597641658
"cases[67]",67,28.1832949090149,30.1943922820196,32.1896102098754
"cases[68]",68,28.5932907634893,30.6489044411003,32.693414370926
"cases[69]",69,28.997742374475,31.1054147254922,33.2051533279314
"cases[70]",70,29.4055813779143,31.569920339586,33.7198496265936
"cases[71]",71,29.8160084290166,32.0399261354237,34.2522594538518
"cases[72]",72,30.2244915579987,32.516152446126,34.7975121697196
"cases[73]",73,30.6332125527171,32.9960519066237,35.3391737816983
"cases[74]",74,31.0434437168628,33.4857949165724,35.8956324292023
"cases[75]",75,31.4519955949053,33.9791185223787,36.4744265614261
"cases[76]",76,31.8623458086458,34.479403173667,37.060120384689
"cases[77]",77,32.2712205184277,34.9848564039296,37.6667899946202
"cases[78]",78,32.6842114947736,35.4991750172304,38.2727836653288
"cases[79]",79,33.1039720770328,36.0173729474624,38.8965182635519
"cases[80]",80,33.5275394696366,36.5393978452211,39.5326704788503
"cases[81]",81,33.9547336447283,37.0683576222511,40.1837291449907
"cases[82]",82,34.3797547329818,37.6048020081862,40.8418156975954
"cases[83]",83,34.8089764769155,38.1494539535746,41.5148895193051
"cases[84]",84,35.2476208073988,38.6999777517161,42.202713740899
"cases[85]",85,35.6846667938538,39.2592023068078,42.8984350965359
"cases[86]",86,36.1304811192217,39.8217983888931,43.6066084232505
"cases[87]",87,36.5789389818486,40.3891106717165,44.3272609786864
"cases[88]",88,37.0197109810539,40.9677406641665,45.0461367743395
"cases[89]",89,37.4745020541965,41.5525648056255,45.7957639470004
"cases[90]",90,37.9316281779616,42.1473498228974,46.5475405940938
"cases[91]",91,38.390357164049,42.7466913057315,47.3178774300116
"cases[92]",92,38.8554836922237,43.3454856906445,48.0948754279453
