"","date","lower","median","upper"
"cases[54]",54,2105.00860565647,2184.42404541271,2264.04625820814
"cases[55]",55,2210.65583052512,2288.89245182929,2367.65766324448
"cases[56]",56,2317.0383565062,2394.48981978728,2472.53743148781
"cases[57]",57,2424.15694415618,2500.85470797271,2578.29034651623
"cases[58]",58,2531.95121773781,2607.90507702741,2684.9561295674
"cases[59]",59,2639.93734399913,2715.44081557947,2792.13948573531
"cases[60]",60,2748.05623411343,2823.32607122741,2899.43113720575
"cases[61]",61,2856.247110133,2931.33287505206,3007.41721417795
"cases[62]",62,2964.2089366941,3039.31755533288,3115.34294809077
"cases[63]",63,3071.74209621303,3147.32797818264,3223.54377142666
"cases[64]",64,3179.11635235996,3254.99186874866,3331.55119140071
"cases[65]",65,3286.10143582298,3362.22800748652,3438.995875397
"cases[66]",66,3392.56652701548,3469.00285127011,3546.05621041777
"cases[67]",67,3498.07968743313,3575.09757885555,3652.64253878049
"cases[68]",68,3602.9007152365,3680.56665857825,3758.29519443083
"cases[69]",69,3706.92941697917,3785.11455786409,3863.05465959709
"cases[70]",70,3809.98817982399,3888.72665900793,3967.07517563853
"cases[71]",71,3912.1164853693,3991.31554666983,4069.95787380734
"cases[72]",72,4013.19910353783,4092.78656550119,4171.62553415684
