"","date","lower","median","upper"
"cases[55]",55,49.8024064365119,53.0715284512396,56.2433399902551
"cases[56]",56,52.2154273779623,55.4035544273732,58.5040824819502
"cases[57]",57,54.6435261296654,57.7600680831626,60.7982116635905
"cases[58]",58,57.0823284564256,60.1406197133033,63.1121555514412
"cases[59]",59,59.5408444228613,62.5401156130871,65.4471582270054
"cases[60]",60,62.0136154910176,64.9542455689764,67.8154577458635
"cases[61]",61,64.4948452232075,67.3803448605254,70.1866246077576
"cases[62]",62,66.9978324582537,69.8218025211876,72.5750326297282
"cases[63]",63,69.4988094221922,72.2695344660364,74.9830627997277
"cases[64]",64,72.0106331950739,74.7254582551795,77.3953883369008
"cases[65]",65,74.5046231885413,77.1827730233192,79.8143928379411
"cases[66]",66,76.991067127986,79.6401208515651,82.2481643098052
"cases[67]",67,79.4834749735661,82.0962997092349,84.6769636389763
"cases[68]",68,81.9596062560701,84.5462301572888,87.1091722485597
"cases[69]",69,84.4258029880936,86.9937356353179,89.5493017785471
"cases[70]",70,86.8799989590464,89.433460614681,91.9835242940814
"cases[71]",71,89.3148646902853,91.8614307424331,94.3945676712391
"cases[72]",72,91.7432574607852,94.2750694258875,96.7949777727402
"cases[73]",73,94.1482232815747,96.6762969644991,99.1846692658596
"cases[74]",74,96.5438435050524,99.0590798956014,101.556328256902
"cases[75]",75,98.9073271598314,101.423122710281,103.920568340706
"cases[76]",76,101.263439586314,103.767945220583,106.255062941113
"cases[77]",77,103.597526944032,106.092332751452,108.561207578817
"cases[78]",78,105.907655165881,108.392260673368,110.850039509142
"cases[79]",79,108.206706068227,110.66876180823,113.112324317495
"cases[80]",80,110.467164520031,112.923418371304,115.348713569165
"cases[81]",81,112.7113750683,115.14938040548,117.559403790792
"cases[82]",82,114.927416410298,117.349552134974,119.738088931295
"cases[83]",83,117.117143253834,119.517914687758,121.882154012601
"cases[84]",84,119.278276064854,121.659311720864,123.990260794763
