"","date","lower","median","upper"
"cases[53]",53,157.695338763938,160.686528006233,163.611476698384
"cases[54]",54,164.394009201884,167.373891080424,170.32077132896
"cases[55]",55,171.146447112325,174.132567025538,177.085118686488
"cases[56]",56,177.936689744297,180.942626545665,183.909861117331
"cases[57]",57,184.777968923052,187.795012516291,190.793682405042
"cases[58]",58,191.652285747217,194.692596207963,197.726033856244
"cases[59]",59,198.552982121984,201.618986998822,204.678414031453
"cases[60]",60,205.472471916999,208.571953417167,211.654907605873
"cases[61]",61,212.412874841409,215.540337354549,218.660002481704
"cases[62]",62,219.352581051338,222.520427175557,225.6772927627
"cases[63]",63,226.29420463706,229.50211917037,232.689761655448
"cases[64]",64,233.232914542504,236.480335910911,239.690363624892
"cases[65]",65,240.160586815571,243.448771862234,246.694110076334
"cases[66]",66,247.07828997689,250.400535694223,253.679299072668
"cases[67]",67,253.970135611325,257.329478341113,260.639363494394
"cases[68]",68,260.844233143959,264.232424640044,267.574911961461
"cases[69]",69,267.680918576466,271.100951825804,274.465458963038
"cases[70]",70,274.493222876953,277.929544364722,281.320445557328
"cases[71]",71,281.276441564228,284.714405463809,288.113792323524
"cases[72]",72,288.012132468528,291.451276734233,294.859235295116
"cases[73]",73,294.688937997014,298.131058770609,301.545411142661
"cases[74]",74,301.318788266347,304.756526777794,308.167368243165
"cases[75]",75,307.896842753552,311.320749621688,314.721463887733
"cases[76]",76,314.403275213516,317.822410056265,321.213281493626
"cases[77]",77,320.847864095716,324.256728391028,327.627020753263
"cases[78]",78,327.227342595412,330.614431335255,333.976827834172
