"","date","lower","median","upper"
"cases[53]",53,1069.35020762198,1094.37297693833,1119.64382000868
"cases[54]",54,1118.12165022825,1143.10992017213,1168.34992253399
"cases[55]",55,1167.2060457804,1192.25070635475,1217.50591317375
"cases[56]",56,1216.5580410528,1241.73510686499,1267.02490681377
"cases[57]",57,1266.24697358746,1291.48983361917,1316.83904328528
"cases[58]",58,1316.1407361964,1341.51062828618,1366.93677868326
"cases[59]",59,1366.11733753172,1391.64916988565,1417.21619897849
"cases[60]",60,1416.16920957166,1441.893751827,1467.65877002853
"cases[61]",61,1466.29053359672,1492.15672670256,1518.07516677111
"cases[62]",62,1516.26135220712,1542.36952699639,1568.59504831389
"cases[63]",63,1566.16694343124,1592.5559373755,1618.9781855213
"cases[64]",64,1615.94802200235,1642.56791395841,1669.19337270092
"cases[65]",65,1665.52787663081,1692.3737264053,1719.17964066592
"cases[66]",66,1714.90287715721,1741.95019787993,1768.94086167997
"cases[67]",67,1763.94259132465,1791.22156617098,1818.38181335048
"cases[68]",68,1812.60357759636,1840.14214230118,1867.49827956291
"cases[69]",69,1860.99363809925,1888.69413146879,1916.21809940611
"cases[70]",70,1908.92059380625,1936.83403141764,1964.48136950231
"cases[71]",71,1956.4523772367,1984.49063885203,2012.2369564931
"cases[72]",72,2003.44460639667,2031.67472501076,2059.55795687456
