"","date","lower","median","upper"
"cases[82]",82,8608.43418133987,8727.06425940573,8843.52091687203
"cases[83]",83,9035.43344854188,9155.16181796127,9273.11327919949
"cases[84]",84,9465.17919912272,9586.72513072622,9705.80863603547
"cases[85]",85,9897.59041862378,10021.1005665174,10141.2512430523
"cases[86]",86,10332.0507918544,10457.6359535264,10579.5799579269
"cases[87]",87,10768.1188986571,10895.6429355316,11019.4065068392
"cases[88]",88,11204.4114327715,11334.280419941,11459.8653266671
"cases[89]",89,11640.7773063647,11772.9629261781,11899.9026108877
"cases[90]",90,12077.6116281575,12211.1065294431,12339.4818458132
"cases[91]",91,12513.1336642078,12647.9955996468,12777.5991832626
"cases[92]",92,12947.264117934,13083.1217394278,13213.4211552643
"cases[93]",93,13379.2830557974,13515.7998419484,13646.7683616993
"cases[94]",94,13808.7234537707,13945.3660302921,14076.5610410253
"cases[95]",95,14235.0000738691,14371.6536268858,14502.5183775597
"cases[96]",96,14657.8083083806,14794.0549264942,14924.4475216893
"cases[97]",97,15076.3283325499,15211.9933543546,15341.6949291109
