"","date","lower","median","upper"
"cases[39]",39,46.2140102940594,48.5068671447152,50.7659610572341
"cases[40]",40,48.2931743725645,50.5584568172148,52.7908698502525
"cases[41]",41,50.3900220376404,52.6313148362972,54.8391037659552
"cases[42]",42,52.5105336018275,54.7228785808433,56.9032252133207
"cases[43]",43,54.6450031887125,56.8284182739719,58.9844071226263
"cases[44]",44,56.7912709933289,58.9503246026416,61.0843102758757
"cases[45]",45,58.9438030140785,61.0813189450687,63.1903764577219
"cases[46]",46,61.1024708572924,63.2225541994244,65.3129042530885
"cases[47]",47,63.2706331560904,65.3703729616415,67.4450288166946
"cases[48]",48,65.4367820923843,67.5231915761449,69.587325807079
"cases[49]",49,67.6027427938006,69.6788528080435,71.725742372261
"cases[50]",50,69.7739994213788,71.8351726296767,73.8733398191092
"cases[51]",51,71.9364101533049,73.9884022358838,76.0234366168025
"cases[52]",52,74.0953044086137,76.1387828966314,78.1693435579033
"cases[53]",53,76.2397800905956,78.2830984092619,80.3125853670563
"cases[54]",54,78.3775777948035,80.4207535109032,82.4537759523091
"cases[55]",55,80.5075489445835,82.5492539125702,84.5883086408894
"cases[56]",56,82.6242116989023,84.6659905248881,86.7159185819003
"cases[57]",57,84.7290563810832,86.771121588981,88.8265539898967
"cases[58]",58,86.8126449404664,88.8617702569258,90.9305123353859
"cases[59]",59,88.8802219926677,90.9376274367584,93.0179511234405
"cases[60]",60,90.9298720313254,92.9979462952965,95.0873363974925
"cases[61]",61,92.957631047894,95.0392798577465,97.1428431609992
"cases[62]",62,94.9715114066327,97.0618227503271,99.1756478511322
"cases[63]",63,96.9630664492963,99.0629282511489,101.188929019575
"cases[64]",64,98.9325913612414,101.043569771518,103.183680532784
