"","date","lower","median","upper"
"cases[65]",65,152.113838685591,156.272100688302,160.445597594039
"cases[66]",66,160.660460032848,164.723140005631,168.812377142457
"cases[67]",67,169.248771345589,173.241879095753,177.247776757667
"cases[68]",68,177.8728556813,181.799939233567,185.743267831916
"cases[69]",69,186.513922065341,190.388619840283,194.286091545457
"cases[70]",70,195.154267611286,198.98668545717,202.843097614232
"cases[71]",71,203.777200714839,207.580924449731,211.421492074908
"cases[72]",72,212.365199752827,216.152829705428,219.971577161385
"cases[73]",73,220.905098488339,224.683961278422,228.497429974949
"cases[74]",74,229.376230187933,233.165367933538,236.9800471659
"cases[75]",75,237.781732989334,241.580692903041,245.398866727172
"cases[76]",76,246.105355377291,249.918883153922,253.74459882617
"cases[77]",77,254.342357000235,258.165158286299,261.997468981852
