"","date","lower","median","upper"
"cases[45]",45,18.3780511697449,20.0327293087048,21.6895601364083
"cases[46]",46,19.6072949654472,21.1929704025508,22.7769532437347
"cases[47]",47,20.8427846173005,22.3640379309375,23.8861182268542
"cases[48]",48,22.0853212265378,23.5473132676648,25.0092960949599
"cases[49]",49,23.3307317893712,24.738569649584,26.1511577892924
"cases[50]",50,24.5692543782563,25.9319930075846,27.3066954802476
"cases[51]",51,25.7985269417259,27.1280292009871,28.4701748602057
"cases[52]",52,27.0235065901049,28.3250338977927,29.6440963709552
"cases[53]",53,28.2388325420947,29.519510134747,30.8188361654125
"cases[54]",54,29.437845758827,30.7098035458277,31.9957243477273
"cases[55]",55,30.6267844714332,31.8937601947734,33.1771295135732
"cases[56]",56,31.8054843701472,33.0691076190285,34.3460679732015
"cases[57]",57,32.9683037812168,34.2350105710959,35.509936537645
"cases[58]",58,34.1169926617126,35.3877361153348,36.6673644990639
"cases[59]",59,35.2505271381659,36.5288047939828,37.8064059032355
"cases[60]",60,36.3718382144102,37.654080721529,38.930647241109
"cases[61]",61,37.4756301238444,38.7644219587364,40.0406532010154
"cases[62]",62,38.5629961900202,39.8573658085528,41.1300942593762
"cases[63]",63,39.6367481951585,40.9318955751315,42.198472115305
"cases[64]",64,40.6961239114054,41.9875382397736,43.243808811668
"cases[65]",65,41.7358127210532,43.0236314750307,44.2699971525224
