"","date","lower","median","upper"
"cases[62]",62,1554.72888229052,1642.25079342392,1738.34263409771
"cases[63]",63,1644.51782718698,1730.66024615975,1824.18559794432
"cases[64]",64,1734.79257375823,1819.92394398738,1910.95754941603
"cases[65]",65,1825.65569016241,1909.62416015988,1998.8632603739
"cases[66]",66,1916.53393822172,1999.93295235648,2087.3954314848
"cases[67]",67,2007.49896390634,2090.4780302577,2176.43826153566
"cases[68]",68,2098.42180909806,2181.15710369973,2266.0737604222
"cases[69]",69,2188.85717184511,2271.85226096816,2355.77381400798
"cases[70]",70,2278.9213216766,2362.35142854371,2445.46067218074
"cases[71]",71,2368.55897960668,2452.51921366174,2534.76599511504
"cases[72]",72,2457.39880561109,2542.28354489769,2623.96530390147
"cases[73]",73,2545.55100507092,2631.30244664661,2712.90250772655
"cases[74]",74,2632.9350736896,2719.6737711507,2801.0182154487
"cases[75]",75,2719.53862829947,2807.17407882159,2888.22195285421
"cases[76]",76,2805.36981768718,2893.69796931094,2974.45257332891
"cases[77]",77,2889.89798831825,2979.1282046073,3059.9063561523
"cases[78]",78,2973.52377077591,3063.36797086075,3144.23319905475
