"","date","lower","median","upper"
"cases[60]",60,88.2205094146153,96.3544107273861,104.223306035193
"cases[61]",61,91.8613044065842,99.9600729964342,107.780417352547
"cases[62]",62,95.5466014543474,103.607196062687,111.387063376466
"cases[63]",63,99.2675153642303,107.287039263948,115.036440429283
"cases[64]",64,103.026567264704,110.995135810176,118.715249998568
"cases[65]",65,106.803506899083,114.736305726837,122.434620184145
"cases[66]",66,110.61337502857,118.50088827087,126.164203115841
"cases[67]",67,114.441997386756,122.294901523331,129.913744403934
"cases[68]",68,118.309487505487,126.107036923735,133.698376707214
"cases[69]",69,122.175527373078,129.937722225178,137.513445081974
"cases[70]",70,126.054651627772,133.783595855318,141.346045908008
"cases[71]",71,129.952265975127,137.64092362947,145.193015792707
"cases[72]",72,133.845558863737,141.506465435018,149.054632152756
"cases[73]",73,137.750902221291,145.382783698924,152.934527163068
"cases[74]",74,141.6427461064,149.262576702251,156.807095380948
"cases[75]",75,145.534661574822,153.138667206076,160.679604781254
"cases[76]",76,149.429631783532,157.009600180745,164.556490336036
"cases[77]",77,153.310465541557,160.878389926937,168.442131849975
"cases[78]",78,157.172962060898,164.743350698614,172.330151134948
"cases[79]",79,161.015969143222,168.596460072692,176.214982598795
"cases[80]",80,164.846283692504,172.445619451337,180.093716058077
"cases[81]",81,168.665697150918,176.278150066933,183.957539785575
"cases[82]",82,172.480108469725,180.092469674633,187.798733377408
"cases[83]",83,176.275954180446,183.896934451323,191.637511512031
"cases[84]",84,180.048173699183,187.677487792712,195.456411212912
"cases[85]",85,183.794224180421,191.438721277313,199.256370995519
"cases[86]",86,187.50294770234,195.175310006762,203.033303294788
"cases[87]",87,191.192497634986,198.887609969797,206.766415970402
"cases[88]",88,194.835816004566,202.575047561704,210.480937275924
"cases[89]",89,198.484295146332,206.23712848694,214.175708569112
"cases[90]",90,202.095060149425,209.869493105607,217.847242919816
"cases[91]",91,205.670374918332,213.468686203588,221.485814928851
"cases[92]",92,209.219323379201,217.040557135181,225.083072664296
"cases[93]",93,212.72519917203,220.575638211528,228.654031633808
"cases[94]",94,216.203547088247,224.076257632329,232.17796428343
"cases[95]",95,219.645161022801,227.545883084377,235.672006855352
"cases[96]",96,223.054536723217,230.977356777278,239.134446252514
"cases[97]",97,226.418452204991,234.371455180059,242.546563890794
"cases[98]",98,229.752977997159,237.726889568739,245.914680316195
"cases[99]",99,233.055099137237,241.040380184644,249.233439399996
