"","date","lower","median","upper"
"cases[30]",30,39.3754729313866,40.590108440874,41.777054886409
"cases[31]",31,41.4435717082205,42.6360228461997,43.802209060211
"cases[32]",32,43.5286366212522,44.7012695902473,45.8488971413437
"cases[33]",33,45.6317895991667,46.7815648221983,47.9106505616
"cases[34]",34,47.7427725565384,48.8722790473016,49.9820320130346
"cases[35]",35,49.8594792880443,50.9706015404528,52.0619258834243
"cases[36]",36,51.9825528703554,53.0742044391482,54.1475995255704
"cases[37]",37,54.1006774833526,55.178735114085,56.2381870756595
"cases[38]",38,56.2190142593055,57.2810668263914,58.3237774104997
"cases[39]",39,58.3307794052309,59.3777232252225,60.4077874798705
"cases[40]",40,60.4360812760718,61.467323218139,62.4859356344888
"cases[41]",41,62.5260903432711,63.5458600713613,64.5531782526438
"cases[42]",42,64.6061003484415,65.6103302099084,66.6104471669527
"cases[43]",43,66.662070738163,67.6597030720424,68.6551341173741
"cases[44]",44,68.7001126667047,69.6900640201203,70.6783836754209
