"","date","lower","median","upper"
"cases[31]",31,7.70785148663597,11.3193226993681,17.8161245414514
"cases[32]",32,8.59116086171517,12.0733002854291,18.150310934337
"cases[33]",33,9.52682416073551,12.8285727194108,18.4924872076935
"cases[34]",34,10.4897852424069,13.6110318812703,18.8311611246311
"cases[35]",35,11.4359719361735,14.3931367801048,19.1825161389461
"cases[36]",36,12.4229703970207,15.1650744219842,19.5394552817415
"cases[37]",37,13.4185384500847,15.9398631153802,19.9040113137103
"cases[38]",38,14.4199647715987,16.7224521789046,20.2680791556028
"cases[39]",39,15.4097778814048,17.5012258513155,20.6407487183994
"cases[40]",40,16.4663554868186,18.2711759221369,21.0235201518055
"cases[41]",41,17.4179328747116,19.0427634137048,21.4186150637678
"cases[42]",42,18.3526339048043,19.8185799579287,21.8256590616504
"cases[43]",43,19.2468549082202,20.5780973052458,22.2868311992146
"cases[44]",44,20.0642781352749,21.3197687262531,22.8086006257783
"cases[45]",45,20.8552028713874,22.0614212643315,23.3937877452052
"cases[46]",46,21.629133100311,22.7957235964186,24.0053228464321
"cases[47]",47,22.3154542625548,23.5194761166975,24.6660706606861
"cases[48]",48,22.9686063949717,24.2173327202498,25.3480454193058
"cases[49]",49,23.5734368565641,24.9067638426511,26.0337004818116
"cases[50]",50,24.1534401328377,25.5774728568896,26.7181762108892
"cases[51]",51,24.7014867184429,26.2401242456656,27.3807354293072
"cases[52]",52,25.2187856616092,26.8841723050699,28.0119019655665
"cases[53]",53,25.7285913876232,27.5233513513902,28.6389873084387
"cases[54]",54,26.2291901916511,28.1398083249976,29.2609024083232
"cases[55]",55,26.7314605959565,28.7410854612607,29.8594594350506
"cases[56]",56,27.2301434683716,29.3256923387521,30.4854321477769
"cases[57]",57,27.7478826714452,29.8933386052851,31.0421290315561
"cases[58]",58,28.257357008764,30.4426306748736,31.5869512724668
"cases[59]",59,28.767068005804,30.9744081215575,32.1243772164552
"cases[60]",60,29.2806683005518,31.4855491426514,32.6700719627282
"cases[61]",61,29.7901047496044,31.9842456689344,33.1517365498755
"cases[62]",62,30.3106225265083,32.4676012672167,33.622389707616
"cases[63]",63,30.8278624998889,32.9275332025792,34.083188898849
"cases[64]",64,31.3582927646073,33.3765004372273,34.518384562439
"cases[65]",65,31.880878865943,33.8108651108571,34.9218605528971
"cases[66]",66,32.4041071425774,34.2228341121881,35.3396777029435
"cases[67]",67,32.908370545628,34.6199273740366,35.7799649371096
"cases[68]",68,33.3682026058601,35.0108475975741,36.2126658153843
"cases[69]",69,33.7902815493309,35.3897912993502,36.6525864669766
"cases[70]",70,34.187313698028,35.7489571032593,37.0975460559339
"cases[71]",71,34.5509344159686,36.0993313878388,37.5514089033045
"cases[72]",72,34.8812165731859,36.4406428632737,38.0047896364932
"cases[73]",73,35.1953242282815,36.772731570201,38.4049365726671
"cases[74]",74,35.462559046902,37.0878360416436,38.892036905609
"cases[75]",75,35.6728982383337,37.398914948362,39.3906027762005
"cases[76]",76,35.8722004556064,37.6784854074664,39.9330744522153
"cases[77]",77,36.0609820601606,37.960560849967,40.5158627964772
"cases[78]",78,36.239742406574,38.2186632440032,41.1034989383052
"cases[79]",79,36.4089635203888,38.4774052913349,41.729000145085
