"","date","lower","median","upper"
"cases[45]",45,144.165603890529,152.615779920261,161.04393677355
"cases[46]",46,152.739298146119,160.945221198146,169.12817399883
"cases[47]",47,161.364429126631,169.339780885869,177.288798966789
"cases[48]",48,170.032572336641,177.793441455069,185.51416017049
"cases[49]",49,178.715172380106,186.276627628155,193.81345854341
"cases[50]",50,187.372424494856,194.781396436203,202.153808557759
"cases[51]",51,196.00192223169,203.289623617329,210.549753802537
"cases[52]",52,204.624046173413,211.773978206666,218.978732232381
"cases[53]",53,213.171061082356,220.235947997952,227.393226461582
"cases[54]",54,221.618964291428,228.6475602013,235.774191932414
"cases[55]",55,230.003194257068,237.008085545486,244.141398615174
"cases[56]",56,238.26758955491,245.300111909531,252.451704005868
"cases[57]",57,246.436068092246,253.500034905734,260.713960026374
"cases[58]",58,254.518495206754,261.607206728898,268.885030287876
