"","date","lower","median","upper"
"cases[61]",61,821.629650616106,843.106393536593,864.565241059824
"cases[62]",62,869.468064937102,890.553750058118,911.582599445183
"cases[63]",63,917.676834508426,938.33393574706,958.899688655217
"cases[64]",64,966.151166528576,986.32071103151,1006.46456175436
"cases[65]",65,1014.71051698653,1034.44635615144,1054.14355576779
"cases[66]",66,1063.24515536447,1082.56677918868,1101.85890223865
"cases[67]",67,1111.73533868848,1130.60927549722,1149.50524415599
"cases[68]",68,1159.96409697236,1178.45115750703,1196.95197605051
"cases[69]",69,1207.94579101563,1226.01863494119,1244.18372203936
"cases[70]",70,1255.48852451292,1273.21367158309,1291.11235942354
