"","date","lower","median","upper"
"cases[75]",75,13.6064277787976,15.2328815462435,16.9109374978999
"cases[76]",76,13.9337489412608,15.5464250693507,17.2071598031938
"cases[77]",77,14.2628012375629,15.864492493528,17.5061993112391
"cases[78]",78,14.596216730345,16.1891787121964,17.8110897304909
"cases[79]",79,14.9329061586669,16.5198432901967,18.1233017372757
"cases[80]",80,15.2760972702212,16.853886336018,18.4408327792799
"cases[81]",81,15.627994197242,17.193141130864,18.7610420573642
"cases[82]",82,15.985953104035,17.5383219559511,19.0923710417322
"cases[83]",83,16.3464064165039,17.8889730841512,19.4350817675084
"cases[84]",84,16.7159556651718,18.2454618601409,19.7816134282627
"cases[85]",85,17.0883491231414,18.6066684441398,20.1364393633706
"cases[86]",86,17.4706334500375,18.9754029839457,20.4927913637939
"cases[87]",87,17.8537313909395,19.3491345624118,20.9001784087877
"cases[88]",88,18.2434894944108,19.7279631995828,21.2974757795098
"cases[89]",89,18.6393270930043,20.1133472606861,21.6749719082713
"cases[90]",90,19.0406168555799,20.5037902822306,22.0578319811599
"cases[91]",91,19.4446878567622,20.9001975883567,22.4513819996008
"cases[92]",92,19.8559269952303,21.3024916040249,22.8519077724855
"cases[93]",93,20.2757484600073,21.7113073498778,23.2577457391865
"cases[94]",94,20.6950385012801,22.1268406915729,23.6673636617518
"cases[95]",95,21.1181935002168,22.5473562182763,24.0883823318394
"cases[96]",96,21.5489176767415,22.9746403196692,24.5175570760527
"cases[97]",97,21.9840040826525,23.4102867189153,24.9533663480137
"cases[98]",98,22.4192321476465,23.8518717484822,25.4011717921232
"cases[99]",99,22.8577500542939,24.3002882144368,25.8559481355397
"cases[100]",100,23.2994151731094,24.7544106063355,26.3171561448401
"cases[101]",101,23.7429024652271,25.2153430099248,26.7826562321941
"cases[102]",102,24.1912255825198,25.6845397735397,27.2591226428651
"cases[103]",103,24.6448611056937,26.1610104719369,27.7497907597195
"cases[104]",104,25.1066693625986,26.6444252953015,28.2499971381111
"cases[105]",105,25.5656515700163,27.1351708647464,28.7636879411185
"cases[106]",106,26.0237686204731,27.6332959687874,29.2817211603846
"cases[107]",107,26.4870052896947,28.1388848714686,29.8148115798003
"cases[108]",108,26.9474961538403,28.6514643495361,30.2947927394307
"cases[109]",109,27.4172306432615,29.1695500285984,30.8504101294949
"cases[110]",110,27.885170800849,29.6958343153205,31.4199848668335
"cases[111]",111,28.3548670655188,30.2275010614671,32.0096702081322
"cases[112]",112,28.8316055753779,30.7669382493375,32.6128251053318
"cases[113]",113,29.3096364470005,31.3144149499247,33.2277855046707
"cases[114]",114,29.7864729762699,31.8660691617645,33.8642882296237
"cases[115]",115,30.2715614861813,32.4269997725376,34.5133194192355
"cases[116]",116,30.7526836710083,32.9965205593916,35.1767267986744
"cases[117]",117,31.2337650718516,33.5729102115231,35.860416635514
"cases[118]",118,31.7180361446727,34.1580600143221,36.5537530424823
"cases[119]",119,32.2091863860818,34.7504857721972,37.2654720990409
"cases[120]",120,32.7058136910193,35.3510974361702,37.9961092017826
"cases[121]",121,33.1916206054919,35.9629806172517,38.7355083925712
"cases[122]",122,33.6732016967272,36.5810530995214,39.4877104674089
