"","date","lower","median","upper"
"cases[1]",1,5.1425526863407e-05,10.1021212256063,12.9541465926461
"cases[2]",2,0.000121159257558839,10.1336731084745,12.9681761041802
"cases[3]",3,0.000269234554796288,10.1667159902068,12.979659654496
"cases[4]",4,0.000566546168432484,10.1979949778589,12.9904837088205
"cases[5]",5,0.00113314567266186,10.2296126563683,13.0014208439007
"cases[6]",6,0.00216166032538564,10.2607398647955,13.0145629368428
"cases[7]",7,0.00363797132061807,10.2929489579698,13.0264587603354
"cases[8]",8,0.00563153673149368,10.3255931595562,13.0393121221657
"cases[9]",9,0.00878405686629861,10.3571199678519,13.0518889024348
"cases[10]",10,0.0133968218505897,10.3888142320863,13.0639218862537
"cases[11]",11,0.0215905236142657,10.4203533942179,13.0742704050916
"cases[12]",12,0.0337043592970673,10.452422460527,13.0880481779988
"cases[13]",13,0.05117175368148,10.4852052168588,13.1012416991868
"cases[14]",14,0.0772286356294255,10.5171384257173,13.1137304685046
"cases[15]",15,0.116246850862399,10.5491584236102,13.1249653012143
"cases[16]",16,0.155775842710654,10.5813611318848,13.140856047365
"cases[17]",17,0.204297362224763,10.6139681872493,13.1533960539969
"cases[18]",18,0.272276466782596,10.6464313921437,13.1668160887757
"cases[19]",19,0.342832551185931,10.6788529779059,13.1800947120001
"cases[20]",20,0.42087823347152,10.7117415193161,13.1930278218082
"cases[21]",21,0.503309733432911,10.744734597727,13.2070739060508
"cases[22]",22,0.596629292543748,10.777597072344,13.2191786345716
"cases[23]",23,0.701376208808974,10.8106568940603,13.2312552708209
"cases[24]",24,0.817998254376123,10.8431826166189,13.2448370906193
"cases[25]",25,0.957924066581995,10.8760051783911,13.2586847304852
"cases[26]",26,1.12520688636838,10.9100407518008,13.273831272974
"cases[27]",27,1.28489565432456,10.9427382887921,13.290745186464
"cases[28]",28,1.45367987056064,10.9742248509791,13.3048991971622
"cases[29]",29,1.69171434579647,11.0076808610577,13.3174360420721
"cases[30]",30,1.95424841316163,11.0426834440655,13.3330883754864
"cases[31]",31,2.21493127679685,11.0756037882642,13.3468123687533
"cases[32]",32,2.47580056052447,11.1102741841979,13.3605401217318
"cases[33]",33,2.70841042369152,11.1471602620897,13.3768498231736
"cases[34]",34,3.04474935651952,11.1812919965298,13.3915030382766
"cases[35]",35,3.29230554579303,11.2155783536187,13.4089467524539
"cases[36]",36,3.54689575097261,11.2505002591036,13.4253022163018
"cases[37]",37,3.88282374863451,11.2853367281813,13.4414145032886
"cases[38]",38,4.17178426857753,11.3202661893684,13.4533887455169
"cases[39]",39,4.45346445465301,11.3544527319462,13.4700382442195
"cases[40]",40,4.79300861533382,11.3890742366349,13.4864361245193
"cases[41]",41,5.13572017341471,11.4247775522774,13.5008899908797
"cases[42]",42,5.48015184031394,11.4602077810335,13.5158199906949
"cases[43]",43,5.82492288953057,11.4953237525353,13.5324878011104
"cases[44]",44,6.16873151459617,11.5300138320678,13.549142964582
"cases[45]",45,6.44724590633178,11.5646176031755,13.5673405407135
"cases[46]",46,6.74066024252431,11.6009657170648,13.5815566723252
"cases[47]",47,7.08642804609892,11.6359887544264,13.5976186106591
"cases[48]",48,7.69104643936002,11.6708126850477,13.6143088098897
"cases[49]",49,8.06266589119921,11.7059200443464,13.6351714174249
"cases[50]",50,8.28219050567565,11.7412183459871,13.652803121359
"cases[51]",51,8.50613757714646,11.7786154020401,13.6692160486984
"cases[52]",52,8.74868232912374,11.8146753215072,13.6869911338238
"cases[53]",53,8.91659308336888,11.8509943330687,13.7073467967147
"cases[54]",54,9.06485885274643,11.8870950381905,13.7263909529597
"cases[55]",55,9.27860343553449,11.9231936820191,13.7449265226413
"cases[56]",56,9.53674013451745,11.9611555656253,13.7619503762344
"cases[57]",57,9.81914920318818,12.0017272114604,13.7940175798058
"cases[58]",58,9.92776103509551,12.052259626144,13.8358344240581
"cases[59]",59,10.0241433940356,12.0907882762857,13.8701886496819
"cases[60]",60,10.1196221739463,12.1302042428645,13.8976035108872
"cases[61]",61,10.2105946241011,12.1708873739333,13.9212872047479
"cases[62]",62,10.303470176092,12.2085345547724,13.9480093658224
"cases[63]",63,10.3902482698133,12.2488815112578,13.9734104022772
"cases[64]",64,10.4761655207762,12.286583591342,14.0022190111684
"cases[65]",65,10.5511989950365,12.3262968803883,14.0263981461418
"cases[66]",66,10.6215383664922,12.3646234237407,14.079018577689
"cases[67]",67,10.688478343515,12.4043757274232,14.1050320512788
"cases[68]",68,10.7490066457898,12.4442270035914,14.1297008294206
"cases[69]",69,10.8036242220055,12.4825261887672,14.180472515837
"cases[70]",70,10.857745321875,12.5206092194256,14.2117555909313
"cases[71]",71,10.906079392269,12.5599823933998,14.2348593413328
"cases[72]",72,10.9557092254462,12.5982973983155,14.2589641056175
"cases[73]",73,11.0037979425504,12.6386335674279,14.2837106167242
"cases[74]",74,11.0480263188132,12.6767269273378,14.3086129833
"cases[75]",75,11.0955224737575,12.7205998209451,14.3342477399865
"cases[76]",76,11.144610541504,12.7663729459598,14.3597155402508
"cases[77]",77,11.1898105780158,12.8071609288396,14.3887249182286
"cases[78]",78,11.2382396002535,12.8470311481512,14.4217403108657
"cases[79]",79,11.2856971296666,12.8856836125925,14.4533474637241
"cases[80]",80,11.331247110278,12.925565716213,14.4799009274833
"cases[81]",81,11.3790337943673,12.9673801697417,14.5189767843214
"cases[82]",82,11.4279800026753,13.0064225160635,14.5460911328893
"cases[83]",83,11.4759821202631,13.0470593491399,14.5773875721729
"cases[84]",84,11.5215431009842,13.0840001263093,14.609714189267
"cases[85]",85,11.5670963507339,13.1210109091866,14.6411323493365
"cases[86]",86,11.612919306504,13.1580936863091,14.6716655691225
"cases[87]",87,11.6548464780336,13.1944609131833,14.70133687714
"cases[88]",88,11.7001284902718,13.2322767343963,14.7316661913128
"cases[89]",89,11.7461071709209,13.2700975261963,14.7617616985709
"cases[90]",90,11.7871855766032,13.3073131012573,14.7941228996404
"cases[91]",91,11.8322656125371,13.345207927287,14.8285912663863
"cases[92]",92,11.8733317576811,13.382230060874,14.8612872343949
"cases[93]",93,11.9131469899546,13.4194681248641,14.8959122633854
"cases[94]",94,11.9520885623294,13.4590710520509,14.9320505116021
"cases[95]",95,11.9969960843865,13.4968890831233,14.981638693457
"cases[96]",96,12.0354403357115,13.5373073598755,15.0271743609665
"cases[97]",97,12.0751108125109,13.5753460876751,15.0650075471763
"cases[98]",98,12.1179446279505,13.614628358915,15.0834275044568
"cases[99]",99,12.1544341071356,13.6533034306788,15.1228434588656
"cases[100]",100,12.1944774215429,13.6918025598932,15.1636942381158
"cases[101]",101,12.2326489732446,13.730535295939,15.2021169149296
"cases[102]",102,12.2682139815113,13.7692258871766,15.2318227397382
"cases[103]",103,12.3024744001525,13.8083462422002,15.2767580256757
"cases[104]",104,12.3421720597872,13.8476719117853,15.3226162397982
"cases[105]",105,12.3816790320033,13.8864168168664,15.3679406847508
"cases[106]",106,12.4149659001733,13.9254553273086,15.4112257013483
"cases[107]",107,12.451241478566,13.9639488101084,15.4591098281527
"cases[108]",108,12.4834612679687,14.0041027968227,15.504886064539
"cases[109]",109,12.5148692895077,14.0433173986679,15.5498223312387
"cases[110]",110,12.5458669806967,14.0830729702776,15.5989222998938
"cases[111]",111,12.5791944591762,14.1220028921482,15.6327760363047
"cases[112]",112,12.6109814113139,14.1617040074529,15.6854274824163
"cases[113]",113,12.6423497405916,14.2012949748345,15.723901629414
"cases[114]",114,12.6718536589715,14.2401320737354,15.7744868396364
"cases[115]",115,12.7012863951209,14.2793109254161,15.8274122709014
"cases[116]",116,12.7291758731507,14.3199441996862,15.8760887183646
"cases[117]",117,12.7544323154191,14.3605627002018,15.9265438184035
"cases[118]",118,12.7815688991954,14.400622908019,15.9650288145311
"cases[119]",119,12.8084004374996,14.4418564774722,16.021205623215
"cases[120]",120,12.8370270085326,14.4825218224497,16.0781590707135
"cases[121]",121,12.8626710606558,14.5240072991174,16.1358015049958
"cases[122]",122,12.8872302189311,14.5630984418877,16.1898063628378
"cases[123]",123,12.9077983868035,14.6040806740114,16.248561280143
"cases[124]",124,12.9300638321449,14.6454561188989,16.3054240250644
"cases[125]",125,12.9555291643404,14.6842454236967,16.3576218244577
"cases[126]",126,12.9782177703059,14.7161292665038,16.4191882423432
"cases[127]",127,13.0039489193166,14.7566225766583,16.4831332287864
"cases[128]",128,13.0267898102721,14.7976397478431,16.5330006574649
"cases[129]",129,13.0526730646956,14.8379554570502,16.5978205826409
"cases[130]",130,13.0720352687498,14.8793664549572,16.6687105136044
"cases[131]",131,13.0922019891363,14.9200949946485,16.7358731821597
"cases[132]",132,13.1130734286101,14.9604785607732,16.7976617968667
"cases[133]",133,13.1337624394963,14.9938974893753,16.8655556701957
"cases[134]",134,13.1525289697667,15.0340543890182,16.9363484253919
"cases[135]",135,13.1694463468847,15.0737777422078,17.0036258745134
"cases[136]",136,13.1870867933528,15.1095555693899,17.0742843809244
"cases[137]",137,13.2028875188234,15.1514628338245,17.1428482942261
"cases[138]",138,13.2216366177239,15.1926037531694,17.2132181542031
"cases[139]",139,13.2412538834989,15.2320115390694,17.2786103889085
"cases[140]",140,13.2589456229291,15.2738814432014,17.3533184845381
"cases[141]",141,13.2780948804892,15.3137848347391,17.4224490593343
"cases[142]",142,13.2935062395562,15.3516987037828,17.4943840890904
"cases[143]",143,13.309734685491,15.3928077059809,17.5703552358022
"cases[144]",144,13.3275090547264,15.4332437053911,17.6414837734645
"cases[145]",145,13.3457113669807,15.4731443405357,17.7218726567027
"cases[146]",146,13.3642168888567,15.5149377489627,17.8006388715527
"cases[147]",147,13.3774648392661,15.5562288895744,17.8768134072059
"cases[148]",148,13.3904103533618,15.5976926317999,17.9552343630947
"cases[149]",149,13.4047660287993,15.6375841130927,18.0346227374164
"cases[150]",150,13.4172652180796,15.6777451159733,18.1181115814617
"cases[151]",151,13.4352399697515,15.715719669482,18.1943342124579
"cases[152]",152,13.4502296983373,15.7549802000714,18.2732832361771
"cases[153]",153,13.4669939074786,15.7963749192712,18.3511361839024
"cases[154]",154,13.4842263396821,15.8394918144383,18.4342878669046
"cases[155]",155,13.4989923525752,15.880513158865,18.5170750556011
"cases[156]",156,13.5115178129434,15.9230739107466,18.5990334430453
"cases[157]",157,13.526396285656,15.9623918762122,18.6772484870839
"cases[158]",158,13.5404878759927,16.0051939937943,18.7620191022438
"cases[159]",159,13.5553522319582,16.0468454155998,18.8451598357675
"cases[160]",160,13.5691837375599,16.0880082072078,18.9306717036354
"cases[161]",161,13.5816882566628,16.1278435314618,19.0147639486053
"cases[162]",162,13.5882407762172,16.1699809075743,19.1073906472078
"cases[163]",163,13.5999837490071,16.2086288284938,19.195652120993
"cases[164]",164,13.612676880362,16.2507198777844,19.2852441179269
"cases[165]",165,13.6237070997425,16.2939635179314,19.3761219769342
"cases[166]",166,13.6343626687582,16.3380889719893,19.4629517437826
"cases[167]",167,13.6439793676194,16.3800126683739,19.5526438465283
"cases[168]",168,13.6565141096112,16.4222723641231,19.644203059569
