"","date","lower","median","upper"
"cases[51]",51,399.45394484864,410.362840524442,421.329180015882
"cases[52]",52,422.81186280181,433.479267491821,444.194831203712
"cases[53]",53,446.32022788097,456.767348037208,467.236231132312
"cases[54]",54,469.939313565799,480.161168737747,490.420835041228
"cases[55]",55,493.56877177176,503.619925951268,513.675777831743
"cases[56]",56,517.157596034354,527.087338473368,537.019576249177
"cases[57]",57,540.706546108776,550.494608279107,560.325024412047
"cases[58]",58,564.09923714084,573.842676029682,583.585180789711
"cases[59]",59,587.345058916847,597.054953414163,606.750892650177
"cases[60]",60,610.403249840001,620.083250533854,629.780054085609
"cases[61]",61,633.221822097703,642.899003263137,652.613058559391
