"","date","lower","median","upper"
"cases[49]",49,74.0154358968568,77.7167455041723,81.3560417443042
"cases[50]",50,77.5185430884323,81.1469375133018,84.721486026099
"cases[51]",51,81.0469535035431,84.6100374227965,88.1272127263102
"cases[52]",52,84.6036913310699,88.1067195935988,91.5743793606476
"cases[53]",53,88.178014568108,91.6259419992591,95.0570607646825
"cases[54]",54,91.7595005610696,95.1681990673077,98.5699140404435
"cases[55]",55,95.3519515205505,98.733070369819,102.11820510393
"cases[56]",56,98.9448762785092,102.309712300369,105.6768266286
"cases[57]",57,102.541228642455,105.895458001564,109.263849604199
"cases[58]",58,106.127644399794,109.489013302005,112.868015083277
"cases[59]",59,109.716208124655,113.086061931419,116.466091677592
"cases[60]",60,113.299552301,116.676913265497,120.077501630887
"cases[61]",61,116.871763393883,120.263324059526,123.678161914785
"cases[62]",62,120.437717287647,123.841331676813,127.266286500538
"cases[63]",63,123.982511589368,127.408197046979,130.84192690435
"cases[64]",64,127.514481710732,130.959897836066,134.39990054099
"cases[65]",65,131.035121590318,134.493655479009,137.940806421334
"cases[66]",66,134.537258682706,138.004320578497,141.46348426625
"cases[67]",67,138.018683384473,141.488620946061,144.949773587685
"cases[68]",68,141.470088739644,144.950431813772,148.40427914795
"cases[69]",69,144.909295658514,148.379797267356,151.826791903081
"cases[70]",70,148.31834085679,151.77770326412,155.208308968298
"cases[71]",71,151.688607400109,155.143699623807,158.554505674325
"cases[72]",72,155.035831340584,158.472274048576,161.860280183124
"cases[73]",73,158.345554140454,161.762184698592,165.121986072903
"cases[74]",74,161.629132799218,165.01320699067,168.341919633036
"cases[75]",75,164.866787630361,168.224288247038,171.513495666154
"cases[76]",76,168.06740353659,171.390578209923,174.644079938432
"cases[77]",77,171.227084614491,174.515443202123,177.730459320856
"cases[78]",78,174.339608587475,177.591092787857,180.776359222635
