"","date","lower","median","upper"
"cases[13]",13,4.44542542811856,5.93079802090069,7.48051531673412
"cases[14]",14,4.72465336724572,6.20337505423217,7.73795850021139
"cases[15]",15,5.00885404071557,6.48106138611137,7.99942200291335
"cases[16]",16,5.30072868336323,6.76258216720617,8.26154870285354
"cases[17]",17,5.59882159561139,7.04887857796722,8.52751209508477
"cases[18]",18,5.90305251122142,7.33826625667115,8.79466613318035
"cases[19]",19,6.21379157756969,7.63064859895363,9.06390911543668
"cases[20]",20,6.52608513827597,7.92665783206258,9.33463615103577
"cases[21]",21,6.84501316605191,8.22506731573738,9.60612810143231
"cases[22]",22,7.16709755651514,8.52608585255002,9.88074618178212
"cases[23]",23,7.49511247187661,8.82979626364033,10.1544266057444
"cases[24]",24,7.82691473676081,9.13516128232502,10.4290594235071
"cases[25]",25,8.15991373640487,9.44214265080393,10.7066703405854
"cases[26]",26,8.4973317126511,9.75057793700386,10.985228797217
"cases[27]",27,8.83392346096513,10.0597835706053,11.2634824227904
"cases[28]",28,9.17400348194727,10.3702716780199,11.5425173371773
"cases[29]",29,9.51484434599961,10.6815976747162,11.8218473367248
"cases[30]",30,9.85841516647501,10.9926147064208,12.1016765036868
"cases[31]",31,10.2020417956171,11.3034894931556,12.3803297643219
"cases[32]",32,10.5449453203698,11.6141401317227,12.6597095882056
"cases[33]",33,10.8871079201306,11.9242400698495,12.936826822072
"cases[34]",34,11.2313698987685,12.234155629595,13.2164084448304
"cases[35]",35,11.5718301929277,12.5432604371978,13.4949895378911
"cases[36]",36,11.9113142610313,12.8507006061762,13.7723302963158
"cases[37]",37,12.2495440293091,13.1570130847078,14.0508549273747
"cases[38]",38,12.5829809701516,13.4620872573151,14.3281273029721
"cases[39]",39,12.9155386104666,13.7658113696195,14.6036321763996
"cases[40]",40,13.243694511555,14.0676261176397,14.8770690135489
"cases[41]",41,13.569684132261,14.3670459159101,15.1500793992491
"cases[42]",42,13.8915837743839,14.6646407760172,15.4236165309417
"cases[43]",43,14.2103907062225,14.9591313374211,15.6947572191193
"cases[44]",44,14.5279194359904,15.2514261441331,15.9644766455603
"cases[45]",45,14.8401647982336,15.5408387189019,16.233929986245
"cases[46]",46,15.1469827814371,15.8278364272347,16.5020455894232
"cases[47]",47,15.4499386605306,16.111950069854,16.7686579334819
"cases[48]",48,15.7494700453656,16.3925737407951,17.034531851242
"cases[49]",49,16.042940140466,16.6706563224198,17.296903914241
"cases[50]",50,16.3310899437662,16.9452460181306,17.5589431850818
"cases[51]",51,16.6156236026508,17.216221485277,17.818191718706
"cases[52]",52,16.8956610441342,17.4843740209625,18.0768427203886
