"","date","lower","median","upper"
"cases[65]",65,3.79842091325744,8.0230819874267,12.4371619566461
"cases[66]",66,4.2008862457076,8.43675809320895,12.7838732566294
"cases[67]",67,4.61902360856211,8.85944932590653,13.1331818756374
"cases[68]",68,5.0592193936641,9.29000697780051,13.4900094597485
"cases[69]",69,5.52664190436756,9.72817664339426,13.8471229570956
"cases[70]",70,6.0172338175335,10.1737770380616,14.2076524714877
"cases[71]",71,6.52399960805913,10.6292655114047,14.5705004174242
"cases[72]",72,7.05097160487053,11.0925459581426,14.9408746952902
"cases[73]",73,7.59077057802789,11.5626032003888,15.3120866121684
"cases[74]",74,8.15095454797874,12.0403555443464,15.6871472664333
"cases[75]",75,8.72566571065278,12.5200521135033,16.0653016114716
"cases[76]",76,9.3115310272728,13.0049528977734,16.4503828011736
"cases[77]",77,9.91404774475207,13.4968847612186,16.8400298197609
"cases[78]",78,10.5292203917659,13.9949234051786,17.2289194909693
"cases[79]",79,11.1485733753328,14.4969350236785,17.6195313554579
"cases[80]",80,11.7820441450563,15.0014366602453,18.0100621717908
"cases[81]",81,12.4192807072769,15.507886539834,18.4109344320418
"cases[82]",82,13.0572221910372,16.0180173236824,18.8120018144991
"cases[83]",83,13.6995891744117,16.5314690511119,19.2224672938088
"cases[84]",84,14.3465305784789,17.0485869237125,19.6293776006975
"cases[85]",85,14.985084364357,17.5668289327219,20.0467542139812
"cases[86]",86,15.6273138933085,18.087302835688,20.4678649930733
"cases[87]",87,16.260004359397,18.606182949688,20.8952339678239
"cases[88]",88,16.8901107604972,19.1243798253219,21.3232548666476
"cases[89]",89,17.5077534154253,19.6427588309972,21.7568998695965
"cases[90]",90,18.1180096588579,20.1619537627374,22.1953547157746
"cases[91]",91,18.7106870724302,20.6814587207417,22.648200844497
"cases[92]",92,19.2887636974551,21.1999129300147,23.1058063764187
"cases[93]",93,19.860243205425,21.7142415547189,23.5714671225494
"cases[94]",94,20.4189787258022,22.2267773457136,24.0471079859048
"cases[95]",95,20.9627173353564,22.7351720467785,24.5336994300884
"cases[96]",96,21.4918670782153,23.2402660685865,25.0267744831752
"cases[97]",97,22.0031408540899,23.7439069666952,25.5308545929448
"cases[98]",98,22.5113610787102,24.2434047287047,26.043589567693
"cases[99]",99,23.0068043946967,24.7386118478391,26.5588118807484
"cases[100]",100,23.4954173965244,25.2282121324921,27.0749700512548
"cases[101]",101,23.9678248969042,25.7135052776641,27.6007913068609
"cases[102]",102,24.4360661067191,26.1949532081573,28.1204915504309
"cases[103]",103,24.8931924366657,26.6712553185721,28.6457448565709
"cases[104]",104,25.3450390612406,27.1415769754846,29.1696700802755
"cases[105]",105,25.7858585307164,27.6083138419569,29.6820817228079
"cases[106]",106,26.2197522363846,28.0685719289763,30.1977022373936
"cases[107]",107,26.6510860704101,28.5226729847608,30.7004403720766
"cases[108]",108,27.0752783243273,28.9721303274838,31.1951437136098
"cases[109]",109,27.4908715855687,29.4165704180031,31.685512531462
"cases[110]",110,27.9003605702458,29.8551091399476,32.1710028349849
"cases[111]",111,28.3083090032702,30.2902282998987,32.6482140670739
"cases[112]",112,28.7085823329214,30.7177408345518,33.110850504236
"cases[113]",113,29.1063879304488,31.1415564266022,33.5640763671775
"cases[114]",114,29.4952283431119,31.5590662691709,34.0046932675372
"cases[115]",115,29.8790848833959,31.9709367307872,34.4370583112512
"cases[116]",116,30.2621069541535,32.3776970782449,34.8567212671275
"cases[117]",117,30.6399866592985,32.7775303902952,35.2669875902998
"cases[118]",118,31.0121756992591,33.1713050930565,35.6659138563379
"cases[119]",119,31.3845661954123,33.5590590734592,36.0540612483264
"cases[120]",120,31.7499484941164,33.938766903228,36.4362901152884
"cases[121]",121,32.1130043773029,34.3128028323413,36.8066632560623
"cases[122]",122,32.470481659742,34.6821107788336,37.166156379475
"cases[123]",123,32.8199734969795,35.0443333048397,37.5170628257854
"cases[124]",124,33.1669144260136,35.4000227908977,37.855930819952
"cases[125]",125,33.5139509478215,35.7496351847495,38.1874870883222
"cases[126]",126,33.8556861869573,36.0950108687411,38.5107042130681
"cases[127]",127,34.1924873007757,36.4322789564703,38.827274238711
"cases[128]",128,34.526263325522,36.7646364162167,39.131056796807
"cases[129]",129,34.856476856955,37.0913487781067,39.4285315846347
"cases[130]",130,35.1822580488729,37.4108651251892,39.7180597589975
"cases[131]",131,35.5030741212658,37.7239845032443,39.9969049135897
"cases[132]",132,35.8188522529497,38.0306506414771,40.2677944149121
"cases[133]",133,36.1347091904562,38.3312118245373,40.5315789166673
"cases[134]",134,36.4466141885415,38.6253545980105,40.7926513267415
"cases[135]",135,36.7537725687348,38.9146638960808,41.045408215054
"cases[136]",136,37.0598003637013,39.1990545033305,41.2966807342231
"cases[137]",137,37.3604141502678,39.4764397852805,41.5349157748545
"cases[138]",138,37.6539342678254,39.7484812674079,41.7648311271847
"cases[139]",139,37.9462078099479,40.0153816205447,41.9956303366188
"cases[140]",140,38.2366828449246,40.2768574737932,42.2169630147484
"cases[141]",141,38.5194403862156,40.5325347654111,42.433053401239
"cases[142]",142,38.7976764286277,40.781202090319,42.6479567726729
"cases[143]",143,39.0717938600158,41.0268837722147,42.8570645118488
"cases[144]",144,39.34189408427,41.2660153136722,43.0633279986669
