"","date","lower","median","upper"
"cases[54]",54,18.919747396669,19.9393588021888,20.9610506794041
"cases[55]",55,19.8694648104914,20.8346119449954,21.8038899715195
"cases[56]",56,20.8198165290862,21.7396440296573,22.6641929257561
"cases[57]",57,21.7652402203815,22.6524739432309,23.5465916234418
"cases[58]",58,22.7068702534238,23.5714947860898,24.4508721815154
"cases[59]",59,23.640768871669,24.4978798621452,25.3688379476474
"cases[60]",60,24.5700750891058,25.428071962384,26.3022399064779
"cases[61]",61,25.4913766502462,26.3632463780779,27.2466722641804
"cases[62]",62,26.4086569165743,27.2996017291503,28.2008720359713
"cases[63]",63,27.3215311854167,28.2379123047814,29.1608678063085
"cases[64]",64,28.2337366270251,29.1769924330677,30.1267233401209
"cases[65]",65,29.1419517325343,30.115318239188,31.0933004660981
"cases[66]",66,30.0510404883821,31.0528037440518,32.0558216693087
"cases[67]",67,30.9571483299591,31.9874437184356,33.0157001804333
"cases[68]",68,31.8626017639128,32.9188601646974,33.9658551629293
"cases[69]",69,32.7677282230371,33.8459909997501,34.9093448786608
"cases[70]",70,33.6717639478712,34.7675671779639,35.844762709207
"cases[71]",71,34.571278106879,35.6841641031218,36.7688773678668
"cases[72]",72,35.4707988185624,36.5934522579626,37.6801279717276
"cases[73]",73,36.3681226749893,37.4963491996952,38.5800446858839
"cases[74]",74,37.2637451837073,38.3913009405315,39.4690247391419
"cases[75]",75,38.1560633435068,39.2774308656554,40.3463296809986
"cases[76]",76,39.0436448078713,40.1544427797926,41.2115105463239
"cases[77]",77,39.9238346542805,41.0210697127226,42.0616581627468
"cases[78]",78,40.7984800439957,41.8790893107483,42.9016124236237
"cases[79]",79,41.6643390714576,42.7246215500243,43.73059604026
"cases[80]",80,42.5176620143006,43.5602152142694,44.5499702899044
"cases[81]",81,43.3633314035785,44.3851018669534,45.3630634987986
"cases[82]",82,44.1941126746779,45.1976143953055,46.1647119185754
"cases[83]",83,45.0002633643743,45.9976375527483,46.9661822568052
"cases[84]",84,45.7896752466566,46.7853250142253,47.7611911251017
"cases[85]",85,46.5571416127263,47.5618081290179,48.5593392598774
"cases[86]",86,47.2975188836442,48.3255521841423,49.3544733879303
"cases[87]",87,48.0110569154199,49.078519217099,50.1519798507589
"cases[88]",88,48.6973199184691,49.8185823301893,50.9494749167195
"cases[89]",89,49.3570068571574,50.5462445731362,51.7492460182202
"cases[90]",90,49.9894231352815,51.2598776959309,52.5479419591568
"cases[91]",91,50.6008802976909,51.9575656924028,53.3468103866288
"cases[92]",92,51.1890736419483,52.6449933612304,54.1476203629086
"cases[93]",93,51.7537338308553,53.316659185839,54.9464703310462
"cases[94]",94,52.2942972841557,53.9765044652624,55.7434315209229
"cases[95]",95,52.8144437172197,54.624067170116,56.5418527178988
"cases[96]",96,53.3205750885283,55.256120808032,57.3335958726916
"cases[97]",97,53.803400648865,55.8752966676675,58.1240422719604
"cases[98]",98,54.2699898716825,56.4811897625601,58.9164524313826
