"","date","lower","median","upper"
"cases[26]",26,81.5324968632197,84.1554235256712,86.7315628756045
"cases[27]",27,85.9577923710327,88.5262370061515,91.0586132137529
"cases[28]",28,90.4157837299639,92.936105673398,95.4233259233263
"cases[29]",29,94.8974153368856,97.377245696387,99.8208503670594
"cases[30]",30,99.4086738048871,101.837061123887,104.245500227246
"cases[31]",31,103.933194397874,106.314712152991,108.685650730349
"cases[32]",32,108.452794851483,110.797460692996,113.139990560892
"cases[33]",33,112.964023494985,115.278249088732,117.599357333581
"cases[34]",34,117.464038674396,119.751858540032,122.053647991144
"cases[35]",35,121.938583580403,124.20941582258,126.495311559619
"cases[36]",36,126.386477534793,128.645311177462,130.924636185205
"cases[37]",37,130.803353821741,133.052980670547,135.325726614693
"cases[38]",38,135.180065719019,137.427628761582,139.699226409139
"cases[39]",39,139.510212700139,141.762758700378,144.04036406679
