"","date","lower","median","upper"
"cases[51]",51,203.656640463794,210.293363068245,216.914111195593
"cases[52]",52,216.286249562925,222.809799070111,229.341255571091
"cases[53]",53,229.008023864332,235.426119185816,241.867461208066
"cases[54]",54,241.792571938711,248.124647476282,254.499671716545
"cases[55]",55,254.608503924651,260.866090991453,267.171594975227
"cases[56]",56,267.409959001735,273.625245322704,279.868660412161
"cases[57]",57,280.179852421313,286.361092081724,292.561039281935
"cases[58]",58,292.906188943966,299.053357939409,305.237473967484
"cases[59]",59,305.546047994604,311.675676454594,317.848649675585
"cases[60]",60,318.077690778769,324.194353869312,330.367371252718
"cases[61]",61,330.475513862043,336.601087049591,342.791829049207
