"","date","lower","median","upper"
"cases[54]",54,123.473519276662,127.166421982159,130.860649777694
"cases[55]",55,129.59789944876,133.255290313601,136.909212392879
"cases[56]",56,135.783404656341,139.396226130553,143.006738366878
"cases[57]",57,142.006626871334,145.57781682995,149.142857793968
"cases[58]",58,148.270361992014,151.792266564699,155.317513648741
"cases[59]",59,154.547638630357,158.032979729743,161.529576193597
"cases[60]",60,160.830007283474,164.290206725305,167.753325219968
"cases[61]",61,167.111648744148,170.551031760963,173.988079140696
"cases[62]",62,173.397110424202,176.809505383471,180.225353471237
"cases[63]",63,179.657711208636,183.05520092738,186.4546230038
"cases[64]",64,185.896198104744,189.280920459587,192.665418008704
"cases[65]",65,192.097455042421,195.481510084067,198.856696710833
"cases[66]",66,198.26564967028,201.646024499554,205.02337027035
"cases[67]",67,204.387955910796,207.77059224484,211.144605182534
"cases[68]",68,210.455524008717,213.846562091597,217.228855030394
"cases[69]",69,216.462844636241,219.86990572239,223.253817370951
"cases[70]",70,222.415871537458,225.831606549635,229.239809594807
