"","date","lower","median","upper"
"cases[41]",41,97.3788066559867,102.099591614301,106.715052159561
"cases[42]",42,101.567048082945,106.203141502489,110.744005818202
"cases[43]",43,105.785747109933,110.344090231085,114.822927167796
"cases[44]",44,110.038335311557,114.521027627294,118.931331679131
"cases[45]",45,114.319679166158,118.731491656,123.084438513176
"cases[46]",46,118.633128409778,122.968813265024,127.258426434272
"cases[47]",47,122.963184227826,127.229923953669,131.459032621656
"cases[48]",48,127.302512096135,131.51031134077,135.677864804664
"cases[49]",49,131.654148532406,135.806768887177,139.924651770252
"cases[50]",50,136.009689230074,140.112870181081,144.186934669609
"cases[51]",51,140.356614006843,144.422553928508,148.459800509772
"cases[52]",52,144.705088843458,148.737325247108,152.739025691562
"cases[53]",53,149.051154945517,153.05053448689,157.030746855917
"cases[54]",54,153.382132929434,157.358733122983,161.320369568868
"cases[55]",55,157.695677314122,161.655796356605,165.609648185737
"cases[56]",56,161.987013196596,165.942249972059,169.893626853472
"cases[57]",57,166.261119678577,170.214490566017,174.178511975937
"cases[58]",58,170.514646806605,174.470647132721,178.44317685941
"cases[59]",59,174.731283181064,178.700975083287,182.69703854456
"cases[60]",60,178.91827490815,182.910095119863,186.921781639228
"cases[61]",61,183.075695695826,187.091567401472,191.129528847106
"cases[62]",62,187.203594215524,191.24902935341,195.317111994411
"cases[63]",63,191.285254371621,195.37265271416,199.472548694249
"cases[64]",64,195.344915333008,199.463422300124,203.596376801666
"cases[65]",65,199.354528015128,203.517841739827,207.681875993462
"cases[66]",66,203.329936696016,207.531431243481,211.73772512876
"cases[67]",67,207.260134275556,211.507466373267,215.751696280758
"cases[68]",68,211.15703554964,215.438922078639,219.721176670541
