"","date","lower","median","upper"
"cases[47]",47,68.2869213773545,69.961582432994,71.6038461917394
"cases[48]",48,71.3148432262316,72.9642178689314,74.5802708018922
"cases[49]",49,74.3665119553072,75.9926644631552,77.5844193279077
"cases[50]",50,77.440201179664,79.0413528415395,80.60949018319
"cases[51]",51,80.5263165048476,82.1078966847575,83.6543716925531
"cases[52]",52,83.6309500426567,85.1897527397566,86.7134876734466
"cases[53]",53,86.7392339683084,88.281858463059,89.7903344607498
"cases[54]",54,89.852348632327,91.3788275727968,92.8727598485064
"cases[55]",55,92.9694204017154,94.4789802206315,95.9640524376852
"cases[56]",56,96.0792566280261,97.5791354872287,99.0572489949835
"cases[57]",57,99.1855094753555,100.67615466634,102.151129803686
"cases[58]",58,102.283849647075,103.767434967645,105.237717190489
"cases[59]",59,105.369141954093,106.848680012656,108.317256071613
"cases[60]",60,108.440060211208,109.915817794273,111.385751828235
"cases[61]",61,111.494189646593,112.967563100915,114.441294867823
"cases[62]",62,114.528196745777,116.0021101767,117.47992415168
"cases[63]",63,117.539266062326,119.01513741436,120.497433299874
"cases[64]",64,120.530649830971,122.005074391736,123.493512220894
"cases[65]",65,123.492747201012,124.970538971563,126.464004350936
"cases[66]",66,126.428585006161,127.909586684257,129.407943415088
"cases[67]",67,129.333313419403,130.818086195875,132.320573718746
