"","date","lower","median","upper"
"cases[37]",37,30.9355064384897,32.653690347807,34.3417071520851
"cases[38]",38,32.7188066148437,34.3933041990052,36.0459987102293
"cases[39]",39,34.5094903487765,36.1472322877585,37.7671038858321
"cases[40]",40,36.3117618207893,37.913162805298,39.5000526968109
"cases[41]",41,38.1178799255992,39.6865631321026,41.248093058523
"cases[42]",42,39.92359924242,41.4667964897182,43.0030443545684
"cases[43]",43,41.7244066703391,43.2474401957506,44.7630684628555
"cases[44]",44,43.5258943634509,45.0281259341435,46.5262026465159
"cases[45]",45,45.3170986409902,46.8032606642386,48.291621247939
"cases[46]",46,47.0968990614474,48.5730345985448,50.0516426864522
"cases[47]",47,48.8611042223819,50.3311447908984,51.8064149047654
"cases[48]",48,50.6090717860851,52.0783871436717,53.5572940019303
"cases[49]",49,52.339557454617,53.8078461419001,55.2947528714767
"cases[50]",50,54.0504361378905,55.5232060653491,57.0162558203435
"cases[51]",51,55.7388327301169,57.2205309342311,58.7191202317541
