"","date","lower","median","upper"
"cases[83]",83,64.2387897798885,66.2958737476844,69.2768343001514
"cases[84]",84,66.1814615345015,68.2434861656863,71.2221548520187
"cases[85]",85,68.1723945585974,70.2411188039889,73.1899131696523
"cases[86]",86,70.1960068652933,72.2840644946952,75.1907200479033
"cases[87]",87,72.2686546267594,74.3754853967179,77.2177040330499
"cases[88]",88,74.3893930187287,76.5141459275942,79.2744723744282
"cases[89]",89,76.551566689535,78.7005507701877,81.3585716213886
"cases[90]",90,78.7547838061981,80.9352231933686,83.4882857463577
"cases[91]",91,81.0011978000352,83.2172670044747,85.654107833715
"cases[92]",92,83.2837357148377,85.5424178410187,87.8797945725973
"cases[93]",93,85.6135297477016,87.9122804717046,90.1821909872546
"cases[94]",94,87.9844963328404,90.3209444513535,92.5726207442686
"cases[95]",95,90.3893863697228,92.771388829918,95.0592676430914
"cases[96]",96,92.8231945755663,95.2633051339669,97.6406278143909
"cases[97]",97,95.2614683112956,97.8080142911667,100.333255457745
"cases[98]",98,97.7050203361468,100.39773576999,103.126372468045
"cases[99]",99,100.121858080087,103.048589310021,106.008934861053
"cases[100]",100,102.502769175238,105.758240366548,108.980649649052
"cases[101]",101,104.836760814289,108.525997734926,112.040838327717
"cases[102]",102,107.127518178797,111.359683033773,115.188298627865
"cases[103]",103,109.371918234897,114.259718977074,118.417689291879
"cases[104]",104,111.609069263543,117.224441971138,121.733138307934
