"","date","lower","median","upper"
"cases[61]",61,78.9799621838222,85.9154484682082,92.9184917070107
"cases[62]",62,83.3890797227873,90.1530503472811,96.9987132105779
"cases[63]",63,87.789281583702,94.4458814111926,101.208220874209
"cases[64]",64,92.1982647693666,98.8010608100135,105.500505281597
"cases[65]",65,96.6014341080653,103.18630590073,109.906999696325
"cases[66]",66,100.973147659318,107.612763576001,114.347097297546
"cases[67]",67,105.317964339274,112.064169989098,118.880706014422
"cases[68]",68,109.628275951884,116.539635383416,123.471720342014
"cases[69]",69,113.923069534369,121.033739893954,128.104188319648
"cases[70]",70,118.217117139597,125.536549227908,132.782055876669
"cases[71]",71,122.503453164028,130.048605052525,137.48185146961
"cases[72]",72,126.773558022671,134.557752094475,142.175975097539
"cases[73]",73,131.04191665805,139.063157605767,146.875640113308
"cases[74]",74,135.33544188879,143.560455955294,151.531399991239
"cases[75]",75,139.613334351946,148.043418762115,156.177179933833
"cases[76]",76,143.8977722442,152.506237894352,160.768944654764
"cases[77]",77,148.178813563155,156.939129300912,165.307238423731
"cases[78]",78,152.435425509818,161.343599544753,169.794212480036
"cases[79]",79,156.690060548348,165.712351283617,174.241341277311
"cases[80]",80,160.90839392341,170.0492510748,178.629868921643
"cases[81]",81,165.141891825887,174.339194123338,182.931899741969
"cases[82]",82,169.367365376957,178.592458770258,187.186448598745
"cases[83]",83,173.587021966962,182.795354951935,191.362385771432
"cases[84]",84,177.753020149691,186.945876543512,195.466338011086
"cases[85]",85,181.894812467965,191.05325554541,199.51469659257
"cases[86]",86,186.006734486216,195.102659054715,203.475331608411
"cases[87]",87,190.095080924858,199.091865949832,207.384537551288
"cases[88]",88,194.114267348028,203.02664722996,211.23600027413
"cases[89]",89,198.108526790291,206.898870605153,215.020076695098
"cases[90]",90,202.040688910418,210.714068049201,218.768945754983
"cases[91]",91,205.883730843934,214.464629454998,222.465780000539
"cases[92]",92,209.671326749677,218.148448315551,226.155619597321
"cases[93]",93,213.378258480281,221.768580637834,229.777114106324
"cases[94]",94,216.969918917455,225.328619647138,233.36830463647
"cases[95]",95,220.469611115715,228.820665340498,236.928106016319
"cases[96]",96,223.846159903626,232.244481015502,240.470264969546
"cases[97]",97,227.119000740984,235.609853688022,243.982197330887
"cases[98]",98,230.252547547535,238.911719625484,247.494682506762
"cases[99]",99,233.255354882001,242.153474599085,250.981488027248
"cases[100]",100,236.148287434516,245.330796989583,254.474952099935
"cases[101]",101,238.890960232239,248.429562320276,257.950320170969
"cases[102]",102,241.519222028315,251.4659763505,261.455350408845
"cases[103]",103,244.014054744727,254.425647380555,264.978990933573
"cases[104]",104,246.42042112638,257.324750757413,268.492565470812
"cases[105]",105,248.686633026704,260.164770028368,272.000899453144
"cases[106]",106,250.88532923623,262.927822077368,275.508624275377
