"","date","lower","median","upper"
"cases[13]",13,3.14148902790316,5.7348116676198,8.72559712177051
"cases[14]",14,3.42450264015613,6.0404059974109,9.00477516470798
"cases[15]",15,3.72053995183109,6.35228593304657,9.28346386652889
"cases[16]",16,4.02975493105553,6.67142056376214,9.56724244846264
"cases[17]",17,4.35194888279441,6.99564470231452,9.85429381599159
"cases[18]",18,4.68797740786365,7.32599541235402,10.1443460165565
"cases[19]",19,5.03382711402601,7.66248008250643,10.4361113641711
"cases[20]",20,5.39027506772354,8.00328375031867,10.7289946743855
"cases[21]",21,5.76051307143141,8.34931530194196,11.025240824565
"cases[22]",22,6.1365080961598,8.70009738939876,11.3222078117983
"cases[23]",23,6.52423700448583,9.05404285336686,11.6198641989777
"cases[24]",24,6.92112724356368,9.41135710457766,11.9203129580592
"cases[25]",25,7.32581847404655,9.77144268082084,12.2206320199692
"cases[26]",26,7.74151554334522,10.1351725508067,12.5227806140567
"cases[27]",27,8.16340653814982,10.5009974547082,12.8244271128234
"cases[28]",28,8.58780940924421,10.86978637789,13.1294657139131
"cases[29]",29,9.01548114043583,11.2395352742885,13.4341373786349
"cases[30]",30,9.4453251836841,11.6111490578188,13.7399727281152
"cases[31]",31,9.87763574344823,11.9835007201592,14.0463321318706
"cases[32]",32,10.3181392149808,12.3561523745422,14.3548004667772
"cases[33]",33,10.755443591888,12.7301290959347,14.6595475573842
"cases[34]",34,11.1946240679408,13.1040518154356,14.9680633627986
"cases[35]",35,11.6359610254028,13.4770396430417,15.2775455404279
"cases[36]",36,12.0744419285299,13.8499812303039,15.589414618275
"cases[37]",37,12.5141069202892,14.2214923682921,15.8980710989488
"cases[38]",38,12.9487333377051,14.5923691920958,16.2073441442807
"cases[39]",39,13.382840236857,14.9616064549566,16.5185041204891
"cases[40]",40,13.8157332456549,15.3302680761791,16.8281793384981
"cases[41]",41,14.2414531466972,15.6954956026673,17.1377709876543
"cases[42]",42,14.6633147700146,16.0586064346916,17.4454623765458
"cases[43]",43,15.0760407343155,16.4201138084509,17.7546311344862
"cases[44]",44,15.4887233211645,16.7789655064643,18.0650356705163
"cases[45]",45,15.8933593063711,17.1346445285134,18.3740335397243
"cases[46]",46,16.2904064950971,17.4873028188701,18.6897358067799
"cases[47]",47,16.678300776014,17.8367625268389,18.9997107221909
"cases[48]",48,17.0617684877378,18.1826908682495,19.3089950251061
"cases[49]",49,17.4368303718367,18.5254117618156,19.6264069142735
"cases[50]",50,17.8058602615964,18.8639845845054,19.9371156851546
"cases[51]",51,18.1667771882419,19.1983541494397,20.2476929907861
"cases[52]",52,18.5179969571756,19.5297313535872,20.5585872984222
"cases[53]",53,18.8626881336677,19.8555184994037,20.8684113332472
"cases[54]",54,19.1995644913951,20.1778764272009,21.1817633948348
"cases[55]",55,19.5266986618402,20.4957667712374,21.4916416581269
"cases[56]",56,19.8462875991759,20.8089550275552,21.7985826109183
"cases[57]",57,20.1595500083869,21.1170353482852,22.1055073234204
"cases[58]",58,20.4653397482353,21.421658575734,22.4108659346427
"cases[59]",59,20.763400302439,21.7215902429698,22.7132368517638
