"","date","lower","median","upper"
"cases[47]",47,224.91469181863,229.343863458398,233.763098761608
"cases[48]",48,238.521101620802,242.858509755329,247.178468502125
"cases[49]",49,252.214547269045,256.476373899403,260.722118708154
"cases[50]",50,265.982557335507,270.162367122228,274.338851598626
"cases[51]",51,279.765538344072,283.888659013646,288.018329474311
"cases[52]",52,293.530878214383,297.612929615637,301.698082641576
"cases[53]",53,307.25304873913,311.309517762634,315.371783946246
"cases[54]",54,320.91280052243,324.94457723558,328.986200752807
"cases[55]",55,334.477942986473,338.494777126681,342.532242777875
"cases[56]",56,347.916129986315,351.930905371072,355.962994404483
