"","date","lower","median","upper"
"cases[27]",27,10.9863249424901,12.9482324797293,14.908874281851
"cases[28]",28,11.6072632347478,13.5338115029093,15.4514423498499
"cases[29]",29,12.2446940164076,14.1277643603585,16.000600056287
"cases[30]",30,12.887630073222,14.7290620257656,16.5550210443855
"cases[31]",31,13.5415122672424,15.3356751892182,17.114368226374
"cases[32]",32,14.2046830900425,15.9488722305612,17.6776456981417
"cases[33]",33,14.869382645849,16.5662523570073,18.2438555347048
"cases[34]",34,15.5439119009126,17.1885131171394,18.8142975186678
"cases[35]",35,16.215868911086,17.8156016095574,19.3907053668894
"cases[36]",36,16.8948594629831,18.4458041085904,19.9713252176195
"cases[37]",37,17.5743336516719,19.0772735890493,20.5577086425856
"cases[38]",38,18.2566521475208,19.7104345220775,21.1463097854762
"cases[39]",39,18.9341335137155,20.3445342850065,21.7359406398869
"cases[40]",40,19.6109085381255,20.9796611292364,22.3300724374728
"cases[41]",41,20.2834953388703,21.6148042919208,22.9308580245223
"cases[42]",42,20.950878292339,22.2487173207236,23.5337436972509
"cases[43]",43,21.6107306612275,22.8815180104887,24.1394622828376
"cases[44]",44,22.2670643772179,23.5128915516669,24.7469473230433
"cases[45]",45,22.9181153646885,24.1414994248701,25.3553219629238
"cases[46]",46,23.5613047460849,24.7676172647914,25.9669631005955
"cases[47]",47,24.1997875148259,25.3892895238902,26.5780116867806
"cases[48]",48,24.8315725346631,26.00868941174,27.1914276841467
"cases[49]",49,25.4544654753443,26.6241463075097,27.8040138933526
"cases[50]",50,26.0692313611287,27.2356152819653,28.4151373413622
"cases[51]",51,26.6750940510059,27.841288867048,29.0242910704938
"cases[52]",52,27.2736319018233,28.4412398424719,29.6308886046526
"cases[53]",53,27.8615379798868,29.0354034959751,30.2366119078529
"cases[54]",54,28.4423960607786,29.6243268135473,30.837337399838
"cases[55]",55,29.0161136042012,30.2071047404465,31.433945783622
"cases[56]",56,29.5801623647462,30.7827741852507,32.0268306996368
"cases[57]",57,30.1365052920774,31.3513635891318,32.6101545513528
"cases[58]",58,30.6844376843147,31.9131646853222,33.19000109393
"cases[59]",59,31.2257685274071,32.4675347696773,33.7617861947684
"cases[60]",60,31.7579554891649,33.0158993654224,34.329050116652
